ky,gamma_ref,omega_ref,gamma_spectrax,omega_spectrax,rel_gamma,rel_omega
0.300,0.093030,0.281994,0.092446,0.289092,-0.006,0.025
0.400,0.080910,0.374944,0.086274,0.385787,0.066,0.029
