source,beta,gamma_ref,omega_ref,gamma_spectrax,omega_spectrax,rel_gamma,rel_omega
/home/user/local/tests/crosscode_tmp/kbm_crosscode_ref/gs2/kbm_beta0p1_nodiff.out.nc,0.1,0.7340562745899332,0.18900039867779087,0.6715328097343445,0.23371922969818115,-0.08517530197601846,0.23660707243600712
/home/user/local/tests/crosscode_tmp/kbm_crosscode_ref/gs2/kbm_beta0p2_nodiff.out.nc,0.2,0.8260923881274176,0.15037222179098772,0.7217965722084045,0.14440052211284637,-0.12625199967697356,-0.03971278476181462
/home/user/local/tests/crosscode_tmp/kbm_crosscode_ref/gs2/kbm_beta0p3_nodiff.out.nc,0.3,0.8650318936735809,0.14457505287658556,0.7862167954444885,0.14669445157051086,-0.09111236106495883,0.014659504885220378
/home/user/local/tests/crosscode_tmp/kbm_crosscode_ref/gs2/kbm_beta0p4_nodiff.out.nc,0.4,0.8909368542939478,0.15332414507289274,0.883014440536499,0.20024782419204712,-0.008892228129598601,0.3060423333640381
/home/user/local/tests/crosscode_tmp/kbm_crosscode_ref/gs2/kbm_beta0p5_nodiff.out.nc,0.5,0.9146700834917745,0.1567032068821249,0.8946813941001892,0.18903814256191254,-0.021853441751672885,0.2063450794859008
