ky,gamma_low,gamma_high,omega_low,omega_high,rel_gamma_change,rel_omega_change
0.300,0.092446,0.092446,0.289092,0.289092,0.000,0.000
0.400,0.086274,0.086274,0.385787,0.385787,0.000,0.000
