ky,gamma_ref,omega_ref,gamma_spectrax,omega_spectrax,rel_gamma,rel_omega
0.100,0.034724,0.083083,0.002066,0.093291,-0.941,0.123
0.200,0.158507,0.130817,0.018784,0.161005,-0.881,0.231
0.300,0.229960,0.236270,0.035516,0.228886,-0.846,-0.031
0.400,0.264569,0.351986,0.009857,0.303983,-0.963,-0.136
0.500,0.253870,0.467768,0.115405,0.368250,-0.545,-0.213
0.600,0.216512,0.567623,0.019710,0.448352,-0.909,-0.210
0.700,0.138721,0.657368,0.002429,0.508831,-0.982,-0.226
