ky,gamma_ref,omega_ref,gamma_spectrax,omega_spectrax,rel_gamma,rel_omega
0.100,0.205736,0.600424,0.024057,1.050812,-0.883,0.750
0.200,0.338459,0.833866,0.015670,1.055898,-0.954,0.266
0.300,0.313749,1.075906,0.016917,1.033177,-0.946,-0.040
0.400,0.243252,1.337840,0.028042,1.042451,-0.885,-0.221
0.500,0.169281,1.598891,0.020797,1.037111,-0.877,-0.351
