ky,gamma_ref,omega_ref,gamma_spectrax,omega_spectrax,rel_gamma,rel_omega
0.200,2.117155,1.966527,0.024539,0.994536,-0.988,-0.494
0.250,2.351464,1.966527,0.046770,1.252541,-0.980,-0.363
0.300,2.184100,1.230126,0.031602,1.490478,-0.986,0.212
0.350,1.430962,0.510460,0.000001,1.766740,-1.000,2.461
0.400,0.728033,-0.008368,0.000411,2.014743,-0.999,-241.768
0.450,-0.426778,-0.075314,0.026965,2.248902,-1.063,-30.860
