ky,omega,gamma
0.10000000,0.60042393,0.20573591
0.20000000,0.83386570,0.33845928
0.30000001,1.07590592,0.31374899
0.40000001,1.33783972,0.24325152
0.50000000,1.59889138,0.16928099
