ky,gamma,omega
0.1,0.0150694627105799,0.1207136328561646
0.2,0.0734965229310482,0.1717812715109972
0.3,0.1149775071904009,0.2787678760169212
0.4,0.1439486196082443,0.3718176812016666
0.5,0.1231318375330562,0.463254454814525
