ky,omega,gamma
0.200000,-1.966527,2.117155
0.250000,-1.966527,2.351464
0.300000,-1.230126,2.184100
0.350000,-0.510460,1.430962
0.400000,0.008368,0.728033
0.450000,0.075314,-0.426778
