ky,omega,gamma
0.00000000,0.00000000,0.00000000
0.05000000,0.03641160,0.01042448
0.10000000,0.08013888,0.03050791
0.15000001,0.12685430,0.05493494
0.20000000,0.17787617,0.07501357
0.25000000,0.23041107,0.08842950
0.30000001,0.28199035,0.09301763
0.34999999,0.33079776,0.08983324
0.40000001,0.37495047,0.08089671
0.45000002,0.41535106,0.06850623
0.50000000,0.45588264,0.05408851
0.55000001,0.49801815,0.03518864
