ky,omega,gamma
0.10000000,0.08308292,0.03472352
0.20000000,0.13081697,0.15850717
0.30000001,0.23627006,0.22996020
0.40000001,0.35198560,0.26456907
0.50000000,0.46776778,0.25386989
0.60000002,0.56762290,0.21651234
0.69999999,0.65736789,0.13872097
