ky,mean_abs_omega,mean_rel_omega,mean_abs_gamma,mean_rel_gamma,mean_rel_Wg,mean_rel_Wphi,mean_rel_Wapar,omega_last,omega_ref_last,gamma_last,gamma_ref_last
0.1,5.455315113067627e-06,6.347627990428074e-05,1.5334076306317e-05,0.11831889682435828,2.5445497358808965e-09,5.4904719003382435e-11,0.0,-0.09206317365169525,-0.09206508100032806,-0.003794759279116988,-0.003786926157772541
0.2,6.783008575439453e-06,4.1227840138814403e-05,1.3400171360444801e-05,0.011269851307368108,5.008320115067161e-09,4.543838814073029e-11,0.0,-0.17236465215682983,-0.17236129939556122,0.0013559734215959907,0.0013685474405065179
0.3,7.0214271545410155e-06,3.07134064537112e-05,1.866589518613182e-05,0.013155799868562695,1.1430278972290376e-08,2.2719194070365143e-11,0.0,-0.23188962042331696,-0.2319045215845108,0.009248738177120686,0.009301661513745785
0.4,4.184246063232422e-06,1.5560691093496412e-05,1.8636140157468618e-05,0.027183350712014703,2.027561853035254e-08,2.019483917365791e-11,0.0,-0.2658243775367737,-0.265828937292099,0.01932665705680847,0.019319241866469383
