route,median_s,samples_s
serial,0.0042040119878947735,"[0.004580317065119743, 0.0033496120013296604, 0.0042040119878947735]"
sharded,0.12247901689261198,"[0.11658790102228522, 0.12247901689261198, 0.12399820610880852]"
