sample,surface_index,alpha,selected_ky_index,weight,minus_value,base_value,plus_value
0,,0.0,1,0.25,1.3932070855399619,1.4441574129630437,1.4958057723668972
1,,0.0,2,0.25,0.3421487062880906,0.32992333362673626,0.31773926805165575
2,,0.5,1,0.25,1.6119492349648337,1.611286126505905,1.6104316943067325
3,,0.5,2,0.25,0.1835372065741367,0.1855115979140588,0.18749645070658721
