design_name,a_over_Ln,a_over_LTi,heat_flux_mean,heat_flux_cv,heat_flux_trend,growth_rate,linear_slope_dQ_d_a_over_Ln
qa_constraints,0.6,6.0,0.026783648878335953,0.001039753551594913,0.003315824782475829,0.027179080992937088,8.2837385767124e-05
qa_constraints,1.0,6.0,0.0248597152531147,0.0011432347819209099,0.0036535460967570543,0.027179080992937088,8.2837385767124e-05
qa_constraints,1.4,6.0,0.024296138435602188,0.0011624905746430159,0.0037163924425840378,0.027179080992937088,8.2837385767124e-05
qa_constraints,1.8,6.0,0.024171611294150352,0.00115186907351017,0.003681704867631197,0.027179080992937088,8.2837385767124e-05
qa_constraints,2.2,6.0,0.024243222549557686,0.0011280248872935772,0.0036038896068930626,0.027179080992937088,8.2837385767124e-05
qa_constraints,2.8,6.0,0.024532213807106018,0.0010809681843966246,0.003450163407251239,0.027179080992937088,8.2837385767124e-05
qa_constraints,3.4,6.0,0.024935681372880936,0.0010283751180395484,0.0032786643132567406,0.027179080992937088,8.2837385767124e-05
qa_constraints,4.0,6.0,0.025403080508112907,0.0009741759859025478,0.0031021484173834324,0.027179080992937088,8.2837385767124e-05
qa_constraints,4.8,6.0,0.026088722050189972,0.0009026606567203999,0.002869561081752181,0.027179080992937088,8.2837385767124e-05
qa_plus_nonlinear_heat_flux,0.6,6.0,0.023791246116161346,0.0015200262423604727,0.004888215102255344,0.021877724677324295,4.2124897732250556e-05
qa_plus_nonlinear_heat_flux,1.0,6.0,0.022141573950648308,0.0016353358514606953,0.005267423577606678,0.021877724677324295,4.2124897732250556e-05
qa_plus_nonlinear_heat_flux,1.4,6.0,0.021649587899446487,0.0016564332181587815,0.005336876027286053,0.021877724677324295,4.2124897732250556e-05
qa_plus_nonlinear_heat_flux,1.8,6.0,0.021532442420721054,0.0016448718961328268,0.005298842675983906,0.021877724677324295,4.2124897732250556e-05
qa_plus_nonlinear_heat_flux,2.2,6.0,0.02158273383975029,0.001618479029275477,0.005211964715272188,0.021877724677324295,4.2124897732250556e-05
qa_plus_nonlinear_heat_flux,2.8,6.0,0.021812716498970985,0.0015663628000766039,0.005040567833930254,0.021877724677324295,4.2124897732250556e-05
qa_plus_nonlinear_heat_flux,3.4,6.0,0.0221395343542099,0.0015072013484314084,0.004845951218158007,0.021877724677324295,4.2124897732250556e-05
qa_plus_nonlinear_heat_flux,4.0,6.0,0.022519832476973534,0.0014459195081144571,0.004644808825105429,0.021877724677324295,4.2124897732250556e-05
qa_plus_nonlinear_heat_flux,4.8,6.0,0.023078428581357002,0.0013636292424052954,0.004374790005385876,0.021877724677324295,4.2124897732250556e-05
