metric,axis,mode_index,mode_value,mean_rel,max_rel,final_rel
Wphi_kx,kx,0,-0.7486348748207092,0.20991675310532829,0.24110955781399565,0.23711823483050012
Wphi_kx,kx,1,-0.712985634803772,0.3096281853337496,0.3564347981575147,0.2891175620750101
Wphi_kx,kx,2,-0.6773363351821899,0.2224528150284875,0.260123465571099,0.25434992981230437
Wphi_kx,kx,3,-0.6416870355606079,0.21100938221341536,0.24765202198182892,0.2386414448360079
Wphi_kx,kx,4,-0.6060377955436707,0.2517746721193001,0.29327894331875287,0.27728481684787
Wphi_kx,kx,5,-0.5703884959220886,0.21860759285071796,0.2591695539939555,0.2557324890713454
Wphi_kx,kx,6,-0.5347391963005066,0.2152238329316112,0.2632139119655412,0.2612715205681887
Wphi_kx,kx,7,-0.49908992648124695,0.19424575665322752,0.24049466059102698,0.23993999381929965
Wphi_kx,kx,8,-0.4634406566619873,0.21765706808254862,0.2734407454597183,0.27322721431207136
Wphi_kx,kx,9,-0.4277913570404053,0.20872490274339972,0.2563551232970663,0.2558891657179264
Wphi_kx,kx,10,-0.39214208722114563,0.1704142578541159,0.22190947513150475,0.221679469549459
Wphi_kx,kx,11,-0.356492817401886,0.19320559812629745,0.2415537591704172,0.2413320253738477
Wphi_kx,kx,12,-0.32084351778030396,0.20159609072177903,0.2519267066943569,0.2512837111272466
Wphi_kx,kx,13,-0.2851942479610443,0.20330944434527237,0.24940452673095911,0.2462199031783381
Wphi_kx,kx,14,-0.24954496324062347,0.20214468212572761,0.25659812943256843,0.25659812943256843
Wphi_kx,kx,15,-0.21389567852020264,0.20219412851746613,0.25502832894263694,0.25502832894263694
Wphi_kx,kx,16,-0.178246408700943,0.21361164546883607,0.2676901862783598,0.2676901862783598
Wphi_kx,kx,17,-0.14259712398052216,0.18063433398571557,0.22832911110245424,0.22832911110245424
Wphi_kx,kx,18,-0.10694783926010132,0.19739332231097304,0.2502611535075981,0.2502611535075981
Wphi_kx,kx,19,-0.07129856199026108,0.23525981803118434,0.3068687805274852,0.3068687805274852
Wphi_kx,kx,20,-0.03564928099513054,0.2099953097317245,0.26645940233534615,0.26645940233534615
Wphi_kx,kx,21,0.0,0.19906336370060793,0.25065107512446266,0.25065107512446266
Wphi_kx,kx,22,0.03564928099513054,0.20857906991813657,0.2645524966786994,0.2645524966786994
Wphi_kx,kx,23,0.07129856199026108,0.23436702208015497,0.30588762808907294,0.30588762808907294
Wphi_kx,kx,24,0.10694783926010132,0.1915761944420406,0.24205518308827464,0.24205518308827464
Wphi_kx,kx,25,0.14259712398052216,0.17321072356068146,0.2163743234448438,0.2163743234448438
Wphi_kx,kx,26,0.178246408700943,0.20567168812057193,0.2576518985110129,0.2576518985110129
Wphi_kx,kx,27,0.21389567852020264,0.19985550203387628,0.25030379874107195,0.25030379874107195
Wphi_kx,kx,28,0.24954496324062347,0.1938758175126091,0.24420640642702646,0.24420640642702646
Wphi_kx,kx,29,0.2851942479610443,0.20053088249866655,0.24674209175746406,0.2440221703047109
Wphi_kx,kx,30,0.32084351778030396,0.1985229412174354,0.24877510210988776,0.24816677827165182
Wphi_kx,kx,31,0.356492817401886,0.19242080889496926,0.23965500196324047,0.23943586883386211
Wphi_kx,kx,32,0.39214208722114563,0.18059297439171912,0.23208349319981172,0.2304301072394301
Wphi_kx,kx,33,0.4277913570404053,0.2140386618463795,0.2630252512408662,0.2615425506165898
Wphi_kx,kx,34,0.4634406566619873,0.22444369232201497,0.2836220755931732,0.283192732771822
Wphi_kx,kx,35,0.49908992648124695,0.1988514152462761,0.24085474513768537,0.23384490837162195
Wphi_kx,kx,36,0.5347391963005066,0.21862991283271363,0.26345637860673576,0.25833885469457407
Wphi_kx,kx,37,0.5703884959220886,0.22999830126457943,0.27181405613200793,0.2543743040631248
Wphi_kx,kx,38,0.6060377955436707,0.25777883288116193,0.29574706411359064,0.27821377594258484
Wphi_kx,kx,39,0.6416870355606079,0.21449799647652484,0.24565573522799394,0.23676015299551328
Wphi_kx,kx,40,0.6773363351821899,0.23003356316953202,0.26231495914735853,0.2583568432023773
Wphi_kx,kx,41,0.712985634803772,0.3197957013681062,0.3619290054352429,0.2929399772596724
Wphi_kx,kx,42,0.7486348748207092,0.2228340027450553,0.2555173708684333,0.23734761592631884
Wphi_ky,ky,0,0.0,0.5331095069689981,0.9982067686704015,0.9982067686704015
Wphi_ky,ky,1,0.03546099364757538,0.398471375560105,0.47913144703007593,-0.4240454465072692
Wphi_ky,ky,2,0.07092198729515076,0.3232626951845799,0.47267734869821904,-0.3450754993480605
Wphi_ky,ky,3,0.10638298094272614,0.31184025253546743,0.47178675460960817,-0.29183761379903767
Wphi_ky,ky,4,0.1418439745903015,0.3216180288648983,0.47612356679423307,-0.2358959885567986
Wphi_ky,ky,5,0.1773049682378769,0.33205023416406737,0.47776450078012705,-0.24498509344207753
Wphi_ky,ky,6,0.21276596188545227,0.3525497005789921,0.48156203051312785,-0.2838965184714952
Wphi_ky,ky,7,0.24822695553302765,0.3625841668737578,0.48259929393807327,-0.32588892657095603
Wphi_ky,ky,8,0.283687949180603,0.36963848811440286,0.4841305338383081,-0.3330430666667776
Wphi_ky,ky,9,0.3191489577293396,0.37528468560625966,0.48422827239918803,-0.3441648118197688
Wphi_ky,ky,10,0.3546099364757538,0.3855530370048271,0.48483020528987064,-0.3613749820082627
Wphi_ky,ky,11,0.39007091522216797,0.3906524257830597,0.4853463361869631,-0.3668423469558963
Wphi_ky,ky,12,0.42553192377090454,0.397526847110854,0.4860835131452679,-0.3764580064124918
Wphi_ky,ky,13,0.4609929323196411,0.40285339277888765,0.4866414351530899,-0.3802745813321032
Wphi_ky,ky,14,0.4964539110660553,0.4087856859715996,0.48764914881249305,-0.3884954490691534
Wphi_ky,ky,15,0.5319148898124695,0.41470624709704634,0.4887741709412544,-0.3957056799620144
Wphi_ky,ky,16,0.567375898361206,0.41802548270753004,0.4892808741548965,-0.394308899005354
Wphi_ky,ky,17,0.6028369069099426,0.42147122629478473,0.4898541927562685,-0.39306258592491256
Wphi_ky,ky,18,0.6382979154586792,0.43451468206207,0.4917173937317079,-0.4135682558438478
Wphi_ky,ky,19,0.673758864402771,0.4376153412312721,0.49213138869879836,-0.41122353201004885
Wphi_ky,ky,20,0.7092198729515076,0.44761782113092885,0.4931835098253247,-0.4235945174918995
Wphi_ky,ky,21,0.7446808815002441,0.44966004950835287,0.4931026224454192,-0.42334290717810924
HeatFlux_kx,kx,0,-0.7486348748207092,0.29439510693237764,0.3718337140007546,0.26029032243374894
HeatFlux_kx,kx,1,-0.712985634803772,0.2978152146121371,0.37112491466383524,0.2948635525546729
HeatFlux_kx,kx,2,-0.6773363351821899,0.2973073773762963,0.369023774761527,0.32958722964435627
HeatFlux_kx,kx,3,-0.6416870355606079,0.34685056040737233,0.42211096969466855,0.31669431873078024
HeatFlux_kx,kx,4,-0.6060377955436707,0.3195215534783966,0.38957516098209477,0.32117029676082615
HeatFlux_kx,kx,5,-0.5703884959220886,0.3073182547909893,0.37308030125924413,0.32184516670646096
HeatFlux_kx,kx,6,-0.5347391963005066,0.2943205778952763,0.36415258316125604,0.33122131651432735
HeatFlux_kx,kx,7,-0.49908992648124695,0.2590016585684901,0.32796851340184846,0.3081030965142488
HeatFlux_kx,kx,8,-0.4634406566619873,0.2855966570024092,0.3561938464646222,0.34410381795015654
HeatFlux_kx,kx,9,-0.4277913570404053,0.2823209296671141,0.3511520946024935,0.3365321574606359
HeatFlux_kx,kx,10,-0.39214208722114563,0.2653884625132151,0.3414642880024944,0.3326057157379805
HeatFlux_kx,kx,11,-0.356492817401886,0.2650934767248294,0.34402342310808537,0.3412089042538926
HeatFlux_kx,kx,12,-0.32084351778030396,0.2584349250973893,0.3419815894208144,0.3419815894208144
HeatFlux_kx,kx,13,-0.2851942479610443,0.31516624521152137,0.40166201519476347,0.4001107596498833
HeatFlux_kx,kx,14,-0.24954496324062347,0.18973756012348805,0.2674754152585185,0.2674754152585185
HeatFlux_kx,kx,15,-0.21389567852020264,0.22093966139106908,0.2928224568084579,0.2928224568084579
HeatFlux_kx,kx,16,-0.178246408700943,0.2506325438931602,0.3165832965862424,0.3165832965862424
HeatFlux_kx,kx,17,-0.14259712398052216,0.21117388940236867,0.2678789575612264,0.2678789575612264
HeatFlux_kx,kx,18,-0.10694783926010132,0.21241461588358024,0.2654118800216634,0.2654118800216634
HeatFlux_kx,kx,19,-0.07129856199026108,0.250450903453082,0.30827836219937993,0.30827836219937993
HeatFlux_kx,kx,20,-0.03564928099513054,0.23284144707296664,0.27271561355286833,0.27271561355286833
HeatFlux_kx,kx,21,0.0,0.2035649950477561,0.23833895753773068,0.23598619128429923
HeatFlux_kx,kx,22,0.03564928099513054,0.2269684751559315,0.26988722246024893,0.26988722246024893
HeatFlux_kx,kx,23,0.07129856199026108,0.23734313329222498,0.30065824797317553,0.30065824797317553
HeatFlux_kx,kx,24,0.10694783926010132,0.19635202870733526,0.2561837262437325,0.2561837262437325
HeatFlux_kx,kx,25,0.14259712398052216,0.18869754238976194,0.2534026619794086,0.2534026619794086
HeatFlux_kx,kx,26,0.178246408700943,0.2239627194452202,0.303723142664299,0.303723142664299
HeatFlux_kx,kx,27,0.21389567852020264,0.19539538475092424,0.27777485974592114,0.27777485974592114
HeatFlux_kx,kx,28,0.24954496324062347,0.17213115830487485,0.2614851293024329,0.2614851293024329
HeatFlux_kx,kx,29,0.2851942479610443,0.2723801855143714,0.388425375904738,0.388425375904738
HeatFlux_kx,kx,30,0.32084351778030396,0.21717037976134795,0.32118584235116454,0.32118584235116454
HeatFlux_kx,kx,31,0.356492817401886,0.22344450008280997,0.32403081267699446,0.32403081267699446
HeatFlux_kx,kx,32,0.39214208722114563,0.22794188357879377,0.32868294818729393,0.32763058959930885
HeatFlux_kx,kx,33,0.4277913570404053,0.24348144201677505,0.34152559973349955,0.3398945928366201
