state,case,path,passed,ensemble_mean,combined_sem,combined_sem_rel,mean_rel_spread,n_reports
minus,qa_ess_profile_gradient_zbs_1_0_nonlinear_gradient_minus_delta_replicated_nonlinear_window_ensemble_gate,docs/_static/qa_ess_profile_gradient_zbs_1_0_nonlinear_gradient_minus_delta_replicates/qa_ess_profile_gradient_zbs_1_0_nonlinear_gradient_minus_delta_t900_ensemble_gate.json,True,16.621634954191915,0.5846976934430367,0.035176906186089596,0.06467491448295161,3
baseline,qa_ess_profile_gradient_zbs_1_0_nonlinear_gradient_baseline_replicated_nonlinear_window_ensemble_gate,docs/_static/qa_ess_profile_gradient_zbs_1_0_nonlinear_gradient_baseline_replicates/qa_ess_profile_gradient_zbs_1_0_nonlinear_gradient_baseline_t900_ensemble_gate.json,True,15.520644190044905,0.4529575487194598,0.029184197715839095,0.0650361471727721,3
plus,qa_ess_profile_gradient_zbs_1_0_nonlinear_gradient_plus_delta_replicated_nonlinear_window_ensemble_gate,docs/_static/qa_ess_profile_gradient_zbs_1_0_nonlinear_gradient_plus_delta_replicates/qa_ess_profile_gradient_zbs_1_0_nonlinear_gradient_plus_delta_t900_ensemble_gate.json,True,16.551560591823904,0.42396305145969615,0.025614687455461107,0.0385414802869404,3
