ky,gamma,omega
4.761904761904761640e-02,-1.391128322439586819e-02,-5.419796642623399968e-02
9.523809523809523281e-02,-1.627138346908538896e-02,-1.033640848170729043e-01
1.428571428571428492e-01,-2.047137122335265444e-02,-1.434056612422872357e-01
1.904761904761904656e-01,-2.869399813125905752e-02,-1.716334818773451731e-01
2.380952380952380820e-01,-3.559558915639112614e-02,-1.873424439267141195e-01
2.857142857142856984e-01,-4.291184102707901182e-02,-1.911085422329573125e-01
