z_index,serial_abs,sharded_abs,abs_error
0,0.0005424412665888667,0.0005424412665888667,0.0
1,0.004305154550820589,0.004305154550820589,0.0
2,0.011165891773998737,0.011165891773998737,0.0
3,0.019922969862818718,0.019922969862818718,0.0
4,0.03065055049955845,0.03065055049955845,0.0
5,0.043482277542352676,0.043482277542352676,0.0
6,0.05732801556587219,0.05732801556587219,0.0
7,0.06885208189487457,0.06885208189487457,0.0
8,0.07346605509519577,0.07346605509519577,0.0
9,0.06885207444429398,0.06885207444429398,0.0
10,0.057328011840581894,0.057328011840581894,0.0
11,0.043482258915901184,0.043482258915901184,0.0
12,0.030650541186332703,0.030650541186332703,0.0
13,0.01992296800017357,0.01992296800017357,0.0
14,0.011165887117385864,0.011165887117385864,0.0
15,0.004305155016481876,0.004305155016481876,0.0
