ky,phi2_ky,wphi_ky,heat_flux_ky,phi2_distribution,wphi_distribution,heat_flux_abs_distribution
0.0,1.0742874513350085,0.024372054539355825,0.0,0.28721683753469823,0.055416444076696374,0.0
0.0476190522313118,0.14274808534768404,0.011930711847938836,0.006149655751515569,0.03816450949580121,0.02712769351672214,0.0011433680980997977
0.0952381044626236,0.13915743583777085,0.012434099541571592,0.019690428501411218,0.037204529003009267,0.02827228130385558,0.0036609216346590156
0.142857164144516,0.14793531406189236,0.013304937096027857,0.04775990749705043,0.039551344485833584,0.030252365525252865,0.008879709175081386
0.1904762089252472,0.16108810411933697,0.014616513287654436,0.08556502415372673,0.043067817437614356,0.03323458799477151,0.015908584623846502
0.2380952537059784,0.15128142790324486,0.015442873038195458,0.10327678258784165,0.04044594698198119,0.03511353992429151,0.019201624165096628
0.285714328289032,0.1390098779200472,0.0158753716094169,0.11970546306569341,0.03716507855757297,0.03609694215846268,0.022256108824277972
0.3333333730697632,0.12642957246038422,0.016142381753469954,0.12205455378146088,0.03380166260697733,0.03670406178770579,0.022692860976345836
0.3809524178504944,0.11850917464417794,0.016283869386125548,0.12856170123718738,0.03168409937009829,0.037025772108431595,0.02390269533311863
0.428571492433548,0.1039671901061228,0.015697249883426013,0.12072788170623533,0.027796217402093988,0.03569193433890117,0.022446200904832254
0.4761905074119568,0.09804833982128446,0.015682304489438456,0.1260656965935537,0.026213779239440176,0.03565795195186941,0.02343862836781958
0.523809552192688,0.09011012673444216,0.01511040632852531,0.12677573301431566,0.02409145298900685,0.034357587126219113,0.02357064112183237
0.571428656578064,0.08771380745318125,0.0151466698481735,0.1478410845667946,0.023450783450484475,0.03444004202575838,0.027487193838531293
0.6190477013587952,0.07979334333516501,0.014431160338261861,0.1270645731917305,0.021333202487440844,0.032813138037080095,0.02362434341959501
0.6666667461395264,0.07424425701183611,0.013877187864191442,0.13747099796514747,0.019849622815153897,0.031553532098656654,0.025559146696716342
0.7142857909202576,0.07216487286059478,0.013666383262906385,0.14757596392118705,0.019293687679546447,0.03107421094092005,0.02743790156908018
0.7619048357009888,0.06596301940948324,0.012856874307263934,0.1449185836695487,0.01763558701675984,0.02923357384167571,0.02694383101830262
0.8095239400863647,0.06444121510163152,0.012753939699348243,0.1499170361028173,0.017228724011793446,0.02899952422825862,0.02787316288385626
0.857142984867096,0.06337396601585067,0.012540117893647331,0.17609495279290463,0.016943388921172357,0.028513342641931182,0.0327402637473125
0.9047620296478271,0.059441746697651274,0.012106091479881386,0.17421314347262395,0.015892087804639177,0.02752646644536637,0.032390390383590394
0.9523810148239136,0.06372857121216295,0.012666484853686984,0.23921540338874941,0.017038194629767033,0.028800672032355427,0.04447586529398236
1.0000001192092896,0.05777048933627184,0.011855217974978566,0.1999139295901334,0.015445267678940533,0.026956037820552562,0.037168781261096746
1.047619104385376,0.05878176991193353,0.011995191965879346,0.22971907966515054,0.015715639271237244,0.02727430646821291,0.04271027157077024
1.095238208770752,0.052897216564268865,0.01129298562937034,0.20762967821352818,0.014142370589079464,0.02567765083482692,0.03860332348352486
1.142857313156128,0.05738074987051265,0.01198750287922644,0.2680754592391608,0.015341068624321854,0.027256823254402866,0.0498416399815503
1.1904762983322144,0.06134384528722891,0.012627040824017175,0.3308091869785919,0.01640062464075208,0.028710985384854008,0.06150534049917142
1.2380954027175903,0.05312911109607205,0.011564445693727072,0.25141097993537803,0.01420436890618103,0.026294888558925613,0.04674331468054563
1.2857143878936768,0.06438219749571099,0.013488988750132299,0.3506119501617332,0.01721294532042895,0.0306708566368837,0.06518714783810237
1.3333334922790527,0.04670410049440819,0.010652448533860954,0.21578256017617564,0.012486605914680409,0.024221216865543523,0.0401191392495321
1.3809525966644287,0.05931045697207344,0.013146581634724404,0.3239611838384887,0.015856986752556326,0.02989230164342495,0.060232132917730524
1.4285715818405151,0.046781298259327364,0.010870892021977446,0.2284093473841818,0.01250724517457056,0.02471790709424699,0.0424667610121927
1.4761906862258911,0.05841777513989586,0.013379261154718162,0.3215761895343572,0.01561832320636661,0.030421361332943736,0.05978870542980623
