panel,kx_rhoi,code,residual_mean,residual_median,residual_min,residual_max,n_pixels
a,0.05,stella,0.008266452648475104,0.00827067669172929,0.0015037593984962294,0.015037593984962405,267
a,0.05,GENE,0.008796262500912456,0.00939849624060149,0.0015037593984962294,0.01616541353383455,206
b,0.07,stella,0.020908435472242227,0.021804511278195465,0.01729323308270675,0.024060150375939837,292
b,0.07,GENE,0.011373555840821541,0.011654135338345833,0.00827067669172929,0.013909774436090205,205
c,0.1,stella,0.03461221547018229,0.03533834586466164,0.030827067669172897,0.03646616541353381,292
c,0.1,GENE,0.025281042411854852,0.02518796992481201,0.021804511278195465,0.02631578947368418,206
d,0.3,stella,0.14165465032444124,0.14135338345864662,0.13796992481203008,0.1469924812030075,292
d,0.3,GENE,0.15067705671946857,0.15150375939849625,0.1469924812030075,0.1537593984962406,206
