case,status,steps,dt,grid_run_s,spectral_run_s,speedup_grid_over_spectral,max_rel_diff,grid_Wg_end,spectral_Wg_end,Wg_end_rel_diff,grid_Wphi_end,spectral_Wphi_end,Wphi_end_rel_diff,grid_heat_end,spectral_heat_end,heat_end_rel_diff,grid_particle_end,spectral_particle_end,particle_end_rel_diff,grid_gamma_end,spectral_gamma_end,gamma_end_rel_diff,grid_omega_end,spectral_omega_end,omega_end_rel_diff
cyclone,pass,2,0.05,11.014072458958253,3.803556084050797,2.895730262830314,0.0008896524273331046,0.00015254374011419713,0.0001525437255622819,9.539503369638776e-08,1.2747121218126267e-05,1.274712303711567e-05,1.4269803454862114e-07,1.4736763205291936e-06,1.4736748426003032e-06,1.0028856878492067e-06,0.0,0.0,0.0,0.0026796453166753054,0.0026772613637149334,0.0008896524273331046,0.24048301577568054,0.24047823250293732,1.989027261570469e-05
kbm,pass,2,0.0003,10.74256200005766,3.2422931250184774,3.3132605800397643,0.0,4.66672554135573e-20,4.66672554135573e-20,0.0,2.893168559333064e-20,2.893168559333064e-20,0.0,5.816390098874665e-23,5.816390098874665e-23,0.0,-5.509543796013318e-24,-5.509543796013318e-24,0.0,-0.013311730697751045,-0.013311730697751045,0.0,0.17075443267822266,0.17075443267822266,0.0
w7x,pass,2,0.05,11.192615290987305,6.6899295829935,1.6730542754052453,5.0691111131940166e-06,0.00032673365785740316,0.00032673371606506407,1.7815015118267203e-07,1.6830937966005877e-05,1.683093432802707e-05,2.161483105956118e-07,4.613878445525188e-06,4.6138766265357845e-06,3.942430267771835e-07,0.0,0.0,0.0,-0.00010728865163400769,-0.00010728865163400769,0.0,-0.03894970566034317,-0.03894950821995735,5.0691111131940166e-06
hsx,pass,2,0.05,3.95856941700913,5.97147224994842,0.6629134744858478,2.1643778371039294e-05,0.00032669014763087034,0.0003266901185270399,8.908695492592063e-08,1.720670479699038e-05,1.72067157109268e-05,6.34283532350363e-07,4.6234004003054e-06,4.623390850611031e-06,2.065513159531876e-06,0.0,0.0,0.0,8.583050657762215e-05,8.583050657762215e-05,0.0,-0.022375378757715225,-0.022374894469976425,2.1643778371039294e-05
