Nl,Nm,ky,gamma_ref,omega_ref,gamma,omega,rel_gamma,rel_omega,elapsed_s,backend,protocol
4,8,0.3,0.09302951,0.28199404,0.10126916119601993,0.24555288551846993,0.08857029555481843,-0.129226683236036,24.21481704711914,office-gpu,time_phi_z_index_tmax150
6,12,0.3,0.09302951,0.28199404,0.09726525335693623,0.30150931772876166,0.04553117991201105,0.06920457513485626,20.044712781906128,office-gpu,time_phi_z_index_tmax150
12,24,0.3,0.09302951,0.28199404,0.09345269227027231,0.28966297759195675,0.004548903571268005,0.027195388923669267,26.064921617507935,office-gpu,time_phi_z_index_tmax150
16,32,0.3,0.09302951,0.28199404,0.09292374733903869,0.28156556247984177,-0.0011368721705758615,-0.0015194559436725417,20.643428325653076,office-gpu,time_phi_z_index_tmax150
