sample,surface_index,alpha,ky,selected_ky_index,selected_ky,ky_abs_error,weight,minus_value,base_value,plus_value
0,,0.0,0.1,1,0.10000000149011612,1.4901161138336505e-09,0.25,2.5034726782196293,2.4988841497952174,2.493861080663351
1,,0.0,0.2,2,0.20000000298023224,2.980232227667301e-09,0.25,2.0990583677064953,2.091512728974186,2.0836681657694336
2,,0.7,0.1,1,0.10000000149011612,1.4901161138336505e-09,0.25,2.281630200057561,2.2797025371050155,2.2760005292119563
3,,0.7,0.2,2,0.20000000298023224,2.980232227667301e-09,0.25,2.033834110592139,2.03829730802434,2.041427611102696
