state_parameter,passed,output_gates_passed,output_gates_total,ensemble_gates_passed,ensemble_gates_total,response_fraction,fd_asymmetry_rel,gradient_uncertainty_rel,fd_condition_number,baseline_mean,plus_mean,minus_mean,blockers,central_fd_json
rsin_mid_surface_m1,False,3,3,3,3,0.004490206847840755,9.507222362245884,7.7270919707486065,,10.239552934546152,10.153261710052801,10.107283999347274,"['fd_response_resolved', 'fd_asymmetry_bounded', 'gradient_uncertainty_bounded']",docs/_static/qa_lowres_state_control_short_bracket_rsin_mid_surface_m1_nonlinear_gradient_state_control_rsin_mid_surface_m1_central_fd_gradient_gate.json
zcos_mid_surface_m1,False,3,3,3,3,0.001470106125831155,45.293137338133214,23.017144622374467,,10.22712637806693,10.064398718711205,10.04936375757316,"['fd_response_resolved', 'fd_asymmetry_bounded', 'gradient_uncertainty_bounded']",docs/_static/qa_lowres_state_control_short_bracket_zcos_mid_surface_m1_nonlinear_gradient_state_control_zcos_mid_surface_m1_central_fd_gradient_gate.json
