metric,passed,detail
optimization_artifact_present,True,docs/_static/stellarator_itg_optimization_comparison.json
reduced_optimizer_not_promoted,True,rows_claiming_production=0 artifact_claims_production=False
startup_or_reduced_artifacts_blocked,True,reduced_artifacts=2
replicated_long_window_holdouts_present,True,qualifying_ensembles=2 min=2
optimized_equilibrium_replicated_transport_window,True,docs/_static/optimized_equilibrium_replicates/optimized_equilibrium_replicate_t700_ensemble_gate.json
