term,seconds,norm
field_solve,0.0004226718738209456,0.053106486797332764
build_H,0.0011036615032935515,0.1281127631664276
streaming,0.0024125573690980673,0.029249196872115135
linked_grad_z,0.0021129009983269498,0.029249196872115135
mirror,0.0014674113772343844,0.0005122728180140257
curvature_gradb,0.0008163125021383166,0.05280608311295509
diamagnetic,0.0010184218699578196,0.03662170097231865
collisions,0.0010167760046897456,0.0
hypercollisions,0.002141885372111574,0.00023511407198384404
linked_abs_kz,0.00201857287902385,0.00023511407198384404
hyperdiffusion,0.00098105201323051,0.0010770052904263139
end_damping,0.0008853958715917543,0.0036051818169653416
full_linear_rhs,0.05184410412039142,0.06555171310901642
