ky,serial_gamma,parallel_gamma,gamma_abs_error,gamma_rel_error,serial_omega,parallel_omega,omega_abs_error,omega_rel_error,serial_kperp_eff2,parallel_kperp_eff2,kperp_eff2_abs_error,kperp_eff2_rel_error,serial_heat_flux_weight_total,parallel_heat_flux_weight_total,heat_flux_weight_total_abs_error,heat_flux_weight_total_rel_error,serial_particle_flux_weight_total,parallel_particle_flux_weight_total,particle_flux_weight_total_abs_error,particle_flux_weight_total_rel_error,serial_amplitude2,parallel_amplitude2,amplitude2_abs_error,amplitude2_rel_error,serial_saturated_heat_flux_total,parallel_saturated_heat_flux_total,saturated_heat_flux_total_abs_error,saturated_heat_flux_total_rel_error,serial_saturated_particle_flux_total,parallel_saturated_particle_flux_total,saturated_particle_flux_total_abs_error,saturated_particle_flux_total_rel_error
0.1,0.051908306777477264,0.051908306777477264,0.0,0.0,0.09151680767536163,0.09151680767536163,0.0,0.0,0.020680405936404748,0.020680405936404748,0.0,0.0,0.14583386029263162,0.14583386029263162,0.0,0.0,0.0,0.0,0.0,0.0,2.510023591272959,2.510023591272959,0.0,0.0,0.3660464297409102,0.3660464297409102,0.0,0.0,0.0,0.0,0.0,0.0
0.2,0.08526700735092163,0.08526700735092163,0.0,0.0,0.2114270180463791,0.2114270180463791,0.0,0.0,0.1062128558287236,0.1062128558287236,0.0,0.0,0.01705014525074546,0.01705014525074546,0.0,0.0,0.0,0.0,0.0,0.0,0.8027936607638273,0.8027936607638273,0.0,0.0,0.013687748522400931,0.013687748522400931,0.0,0.0,0.0,0.0,0.0,0.0
