objective,parameter,implicit,finite_difference,abs_error,rel_error,passed
gamma,Rcos_mid_surface_m1,16001.227573552209,15692.509115410841,308.7184581413676,0.019672982559442352,True
omega,Rcos_mid_surface_m1,7106.920569348644,7267.199715196335,160.27914584769132,0.022055145328197592,True
kperp_eff2,Rcos_mid_surface_m1,-48085.406246252445,-49117.86392077583,1032.4576745233862,0.021020003560999284,True
linear_heat_flux_weight,Rcos_mid_surface_m1,383201.46050607634,373209.0086233937,9992.451882682624,0.026774412331418387,True
mixing_length_heat_flux_proxy,Rcos_mid_surface_m1,513068.48252092605,505664.19966562174,7404.282855304307,0.014642687499333557,True
nonlinear_window_heat_flux_mean,Rcos_mid_surface_m1,109755.79642362508,107200.84824116627,2554.9481824588147,0.023833283265735274,True
nonlinear_window_heat_flux_cv,Rcos_mid_surface_m1,-5253.239292070181,-5292.684505141218,39.44521307103696,0.007452779970678508,True
nonlinear_window_heat_flux_trend,Rcos_mid_surface_m1,-18020.909671943096,-18170.808266616546,149.89859467345013,0.008249418103697908,True
