case,backend,state,Nl,Nm,vector_size,map_label,parallel_shift,parallel_log_scale,perpendicular_log_scale,parallel_scale,perpendicular_scale,compile_execute_seconds,warm_seconds,baseline_warm_seconds,warm_over_baseline,rhs_norm,phi_norm,rhs_rel_error_vs_unmapped,gamma_proxy,omega_proxy,gamma_proxy_abs_error_vs_unmapped,omega_proxy_abs_error_vs_unmapped,dense_gamma,dense_omega,dense_gamma_abs_error_vs_unmapped,dense_omega_abs_error_vs_unmapped
runtime_cyclone_nonlinear_miller,cpu,z_wave,4,6,7077888,unmapped,0.0,0.0,0.0,1.0,1.0,0.6755401249974966,0.05516212503425777,0.05516212503425777,1.0,0.16457867622375488,0.06516476407824165,0.0,-0.023136349394917488,0.00048402752145193517,0.0,0.0,,,,
runtime_cyclone_nonlinear_miller,cpu,z_wave,4,6,7077888,identity,0.0,0.0,0.0,1.0,1.0,0.6470629579853266,0.05870237504132092,0.05516212503425777,1.0641789997188202,0.16457867622375488,0.06516476407824165,0.0,-0.023136349394917488,0.00048402752145193517,0.0,0.0,,,,
runtime_cyclone_nonlinear_miller,cpu,z_wave,4,6,7077888,parallel_shift,0.15,0.0,0.0,1.0,1.0,0.06007379083894193,0.06252339598722756,0.05516212503425777,1.1334479218920257,0.16596773266792297,0.06516476407824165,0.08313553651311835,-0.023137355223298073,0.0005274714203551412,1.0058283805847168e-06,4.344389890320599e-05,,,,
runtime_cyclone_nonlinear_miller,cpu,z_wave,4,6,7077888,parallel_scale,0.0,-0.08,0.0,0.9231163463866358,1.0,0.06301887496374547,0.06303331244271249,0.05516212503425777,1.1426918814959794,0.1524626761674881,0.06516476407824165,0.08954230984161798,-0.023136349394917488,0.00042144127655774355,0.0,6.258624489419162e-05,,,,
runtime_cyclone_nonlinear_miller,cpu,z_wave,4,6,7077888,perp_scale,0.0,0.0,0.06,1.0,1.0618365465453596,0.056357583962380886,0.0569454999640584,0.05516212503425777,1.0323296995663798,0.16776685416698456,0.06516476407824165,0.02777758977890548,-0.023136354982852936,0.00048779594362713397,5.587935447692871e-09,3.7684221751987934e-06,,,,
runtime_cyclone_nonlinear_miller,cpu,z_wave,4,8,9437184,unmapped,0.0,0.0,0.0,1.0,1.0,0.6688147077802569,0.07907693751621991,0.07907693751621991,1.0,0.16456937789916992,0.06516476407824165,0.0,-0.022974593564867973,0.0004840274923481047,0.0,0.0,,,,
runtime_cyclone_nonlinear_miller,cpu,z_wave,4,8,9437184,identity,0.0,0.0,0.0,1.0,1.0,0.6832926247734576,0.08238435396924615,0.07907693751621991,1.0418252977026055,0.16456937789916992,0.06516476407824165,0.0,-0.022974593564867973,0.0004840274923481047,0.0,0.0,,,,
runtime_cyclone_nonlinear_miller,cpu,z_wave,4,8,9437184,parallel_shift,0.15,0.0,0.0,1.0,1.0,0.07838874985463917,0.08102872909512371,0.07907693751621991,1.0246821847204624,0.1659584939479828,0.06516476407824165,0.08314023374909815,-0.022975608706474304,0.000527471536770463,1.0151416063308716e-06,4.3444044422358274e-05,,,,
runtime_cyclone_nonlinear_miller,cpu,z_wave,4,8,9437184,parallel_scale,0.0,-0.08,0.0,0.9231163463866358,1.0,0.0791288751643151,0.07757664599921554,0.07907693751621991,0.9810274453699394,0.15245269238948822,0.06516476407824165,0.08954736906631472,-0.022974593564867973,0.00042144121835008264,0.0,6.258627399802208e-05,,,,
runtime_cyclone_nonlinear_miller,cpu,z_wave,4,8,9437184,perp_scale,0.0,0.0,0.06,1.0,1.0618365465453596,0.07319366605952382,0.07511808350682259,0.07907693751621991,0.9499366802288556,0.16775771975517273,0.06516476407824165,0.02777915923884541,-0.02297459915280342,0.00048779588541947305,5.587935447692871e-09,3.7683930713683367e-06,,,,
