ky,gamma,omega
4.761904761904761640e-02,-2.216210870972239871e-02,-7.384193580153219916e-02
9.523809523809523281e-02,-4.288447736385969655e-02,-1.306523237800274739e-01
1.428571428571428492e-01,-5.729957020690933794e-02,-1.637531959673635684e-01
1.904761904761904656e-01,-6.995435308032339761e-02,-1.729720091696443363e-01
2.380952380952380820e-01,-7.691581096527351502e-02,-1.718679843470309609e-01
2.857142857142856984e-01,-7.831889115872414653e-02,-1.639161397127752162e-01
