ky,gamma,omega
1.000000000000000056e-01,1.237918740205482156e-03,4.395309252063989147e-02
2.000000000000000111e-01,3.606624612663488633e-03,1.203453614852650205e-01
2.999999999999999889e-01,5.215106839865544033e-03,2.297761209162050844e-01
4.000000000000000222e-01,5.289139546658775531e-03,3.609767373777308941e-01
5.000000000000000000e-01,4.362507958892519917e-03,4.676770054056010317e-01
