objective,parameter,implicit,finite_difference,abs_error,rel_error,passed
gamma,Rsin_mid_surface_m1,-16.870688226382303,-16.87068379876977,4.427612530832903e-06,2.6244416549113255e-07,True
omega,Rsin_mid_surface_m1,2.4446128400844374,2.4446126928867606,1.47197676714228e-07,6.021308698205574e-08,True
kperp_eff2,Rsin_mid_surface_m1,16.59951323526913,16.59952658145114,1.334618201198623e-05,8.040097978998807e-07,True
linear_heat_flux_weight,Rsin_mid_surface_m1,18.807805035834306,18.80778377016945,2.126566485571857e-05,1.1306842483720756e-06,True
mixing_length_heat_flux_proxy,Rsin_mid_surface_m1,-2363.4432336093305,-2363.443839461965,0.0006058526346350845,2.563431482988003e-07,True
