route,median_s,samples_s
serial,0.043669458013027906,"[0.04158270894549787, 0.04550529096741229, 0.043669458013027906]"
sharded,0.031135583063587546,"[0.031649291049689054, 0.02942116593476385, 0.031135583063587546]"
