m,state_real,ladder_real,reference_real,abs_error
0,0.0,34.0,34.0,0.0
1,20.0,96.1665267944336,96.1665267944336,0.0
2,40.0,224.75245666503906,224.75245666503906,0.0
3,60.0,389.7794494628906,389.7794494628906,0.0
4,80.0,584.131591796875,584.131591796875,0.0
5,100.0,803.8012084960938,803.8012084960938,0.0
6,120.0,1046.1021728515625,1046.1021728515625,0.0
7,140.0,539.7332763671875,539.7332763671875,0.0
