label,perturbation,window_mean,window_std,window_cv,window_trend,geometry_max_relative_change
minus,-1e-05,2.722295492821108e-11,2.7494412040839126e-12,0.10099716255396925,0.28566310071367607,2.5452793024805853
base,0.0,3.0157944963910205e-11,3.0463326915446712e-12,0.10101260862403574,0.2857067888678206,0.0
plus,1e-05,2.9640947293670344e-11,2.9941254745933544e-12,0.10101315065705517,0.28570832196925483,0.5720913689624155
base_repeat,0.0,3.0157944963910205e-11,3.0463326915446712e-12,0.10101260862403574,0.2857067888678206,0.0
