ky,gamma,omega
9.523809523809523281e-02,-7.017453759908676147e-02,-1.282843053340911865e-01
1.904761904761904656e-01,4.429710656404495239e-02,-1.266780644655227661e-01
2.857142857142856984e-01,5.480079725384712219e-02,-2.599018439650535583e-02
3.809523809523809312e-01,1.046295687556266785e-01,6.089653447270393372e-02
4.761904761904761640e-01,1.303193420171737671e-01,1.205693855881690979e-01
