m,serial_norm,sharded_norm,abs_error
0,0.6126152276992798,0.6126152276992798,0.0
1,0.0,0.0,0.0
2,0.4594228267669678,0.4594228267669678,0.0
3,0.0,0.0,0.0
4,0.0,0.0,0.0
5,0.0,0.0,0.0
6,0.0,0.0,0.0
7,0.0,0.0,0.0
