kernel,seconds,repeats,norm
field_solve,0.0003579668002203107,5,0.053106486797332764
nonlinear_bracket,0.03442804999649525,5,5.841359597980045e-05
linear_rhs,0.0398982249898836,5,0.06509089469909668
full_rhs,0.07178161679767073,5,0.06509069353342056
