ky,gamma_ref,omega_ref,gamma_spectrax,omega_spectrax,rel_gamma,rel_omega
0.300,0.093018,0.281990,10.784930,4.603110,114.945,15.324
0.400,0.080897,0.374950,0.243824,0.828638,2.014,1.210
