ky,gamma_low,gamma_high,omega_low,omega_high,rel_gamma_change,rel_omega_change
0.300,0.004763,10.784930,-0.467756,4.603110,1.000,1.102
0.400,0.192190,0.243824,0.401215,0.828638,0.212,0.516
