m,production_abs,sharded_abs,abs_error
0,0.0,0.0,0.0
1,1.414212942123413,1.41421377658844,8.534086646250216e-07
2,0.0,0.0,0.0
3,1.7320506572723389,1.7320510149002075,4.2981520209650625e-07
4,0.0,0.0,0.0
5,0.0,0.0,0.0
6,0.0,0.0,0.0
7,0.0,0.0,0.0
