Nl,Nm,ky,gamma_ref,omega_ref,gamma,omega,rel_gamma,rel_omega
6,12,0.050000001,0.00982407,0.03653955,0.019126452,0.039871752,0.94689696,0.091194387
8,16,0.050000001,0.00982407,0.03653955,0.02057347,0.037614137,1.0941901,0.029408879
12,24,0.050000001,0.00982407,0.03653955,0.020385894,0.037670435,1.0750966,0.030949611
16,32,0.050000001,0.00982407,0.03653955,0.020170926,0.037239407,1.0532148,0.019153405
