model,label,mean_abs_relative_error,holdout_mean_abs_relative_error,log_pearson,holdout_log_pearson,spearman,holdout_spearman,pairwise_order_accuracy,pairwise_order_correct,pairwise_order_total,holdout_pairwise_order_accuracy,holdout_pairwise_order_correct,holdout_pairwise_order_total,absolute_flux_gate_passed,screening_gate_passed,holdout_screening_gate_passed
positive_mixing_length,positive-growth ML,2.833291502896511,3.418296167633783,0.5229082982667795,0.4895613390039715,0.35258521533443743,0.27545404024004955,0.6590909090909091,29,44,0.6296296296296297,17,27,False,False,False
linear_weight,linear-weight fit,0.8447213326664013,0.8536576235175883,0.0588233348555356,-0.14105247658256923,-0.309090909090909,-0.4285714285714286,0.4,18,45,0.35714285714285715,10,28,False,False,False
absolute_growth_mixing_length,absolute-growth ML,3.670445207475397,4.464526858463534,0.1507591574646999,0.0296958324105226,-0.0303030303030303,-0.11904761904761905,0.4888888888888889,22,45,0.4642857142857143,13,28,False,False,False
spectral_envelope_ridge,spectral-envelope ridge,0.4237826936689464,0.4233191722084055,0.5830535366736481,0.6331281094726178,0.6606060606060605,0.5952380952380953,0.7111111111111111,32,45,0.6785714285714286,19,28,False,False,False
linear_state_ridge,linear-state ridge,1.2836792589774924,0.6113670863241809,-0.061649874087047724,0.13656488826457203,-0.10303030303030303,-0.04761904761904763,0.4444444444444444,20,45,0.5,14,28,False,False,False
