ky,gamma_ref,omega_ref,gamma_spectrax,omega_spectrax,rel_gamma,rel_omega
0.300,0.093018,0.281990,-0.376229,-0.560730,-5.045,-2.988
0.400,0.080897,0.374950,0.233491,0.592905,1.886,0.581
