state,case,path,passed,ensemble_mean,combined_sem,combined_sem_rel,mean_rel_spread,n_reports
minus,qa_ess_profile_gradient_rbc_1_1_nonlinear_gradient_minus_delta_replicated_nonlinear_window_ensemble_gate,docs/_static/qa_ess_profile_gradient_rbc_1_1_nonlinear_gradient_minus_delta_replicates/qa_ess_profile_gradient_rbc_1_1_nonlinear_gradient_minus_delta_t900_ensemble_gate.json,True,16.07648156975218,0.5863536811854984,0.03647276169486736,0.020520275053366722,3
baseline,qa_ess_profile_gradient_rbc_1_1_nonlinear_gradient_baseline_replicated_nonlinear_window_ensemble_gate,docs/_static/qa_ess_profile_gradient_rbc_1_1_nonlinear_gradient_baseline_replicates/qa_ess_profile_gradient_rbc_1_1_nonlinear_gradient_baseline_t900_ensemble_gate.json,True,15.520644190044905,0.4529575487194598,0.029184197715839095,0.0650361471727721,3
plus,qa_ess_profile_gradient_rbc_1_1_nonlinear_gradient_plus_delta_replicated_nonlinear_window_ensemble_gate,docs/_static/qa_ess_profile_gradient_rbc_1_1_nonlinear_gradient_plus_delta_replicates/qa_ess_profile_gradient_rbc_1_1_nonlinear_gradient_plus_delta_t900_ensemble_gate.json,True,14.738395736655393,0.46349546021645827,0.03144816223544015,0.10865940833063074,3
