requested_devices,actual_workers,timed_wall_s,wall_s,strong_speedup_vs_1_device,parallel_efficiency,max_gamma_abs_error,max_gamma_rel_error,max_omega_abs_error,identity_gate_pass,error
1,1,2.557562366593629,13.521385919768363,1.0,1.0,0.0,0.0,0.0,True,
2,2,1.3318006184417754,9.619142246898264,1.9203793204316209,0.9601896602158104,0.0,0.0,0.0,True,
4,4,0.7283966585528105,8.189511854201555,3.511221992252178,0.8778054980630445,0.0,0.0,0.0,True,
8,8,0.47938455385155976,7.771108635701239,5.335095480330332,0.6668869350412915,0.0,0.0,0.0,True,
