ky,mode_ky,gamma,omega,kperp_eff2,heat_flux_weight_total,particle_flux_weight_total,amplitude2,saturated_heat_flux_total,saturated_particle_flux_total
4.761904761904761640e-02,4.761904761904761640e-02,-2.273805704214735060e-02,-8.319519085801425906e-03,7.904149899727014317e-03,1.647910610910444454e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.523809523809523281e-02,9.523809523809523281e-02,-1.612850968682782993e-02,-7.397998283241617908e-03,2.971408505350621801e-02,6.118818136989490758e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.428571428571428492e-01,1.428571428571428492e-01,4.182113354286943856e-03,3.613581029013622926e-03,6.125506693459126933e-02,1.248248073898669264e-01,0.000000000000000000e+00,6.827375372477584303e-02,8.522258158478355008e-03,0.000000000000000000e+00
1.904761904761904656e-01,1.904761904761904656e-01,1.141557566040407937e-02,1.118604043255494451e-02,6.554917279136893149e-02,2.138667839756998312e-01,0.000000000000000000e+00,1.741528561578919720e-01,3.724551126667100670e-02,0.000000000000000000e+00
2.380952380952380820e-01,2.380952380952380543e-01,3.085591269269028283e-02,3.265271950581889737e-02,9.850815842040315518e-02,3.021361357766012001e-01,0.000000000000000000e+00,3.132320529331849013e-01,9.463872207460428954e-02,0.000000000000000000e+00
2.857142857142856984e-01,2.857142857142856984e-01,4.880132171848534234e-02,5.925295381699460101e-02,1.355877507674271010e-01,3.923339912522337269e-01,0.000000000000000000e+00,3.599242663313588775e-01,1.412105239583139882e-01,0.000000000000000000e+00
