ky,gamma_ref,omega_ref,gamma_spectrax,omega_spectrax,rel_gamma,rel_omega,gamma_error,omega_error,gamma_sign_mismatch,omega_sign_mismatch
0.2,2.117155,1.966527,3.711259,-0.23467,0.753,-1.119,1.5941040000000002,-2.201197,False,True
0.25,2.351464,1.966527,3.963273,0.75195,0.685,-0.618,1.611809,-1.2145769999999998,False,False
0.3,2.1841,1.230126,3.701148,1.497862,0.695,0.218,1.517048,0.267736,False,False
0.35,1.430962,0.51046,3.097659,2.195036,1.165,3.3,1.666697,1.6845759999999999,False,False
0.4,0.728033,-0.008368,2.22936,2.933266,2.062,-351.534,1.5013269999999999,2.941634,False,True
0.45,-0.426778,-0.075314,1.388671,3.901072,-4.254,-52.797,1.815449,3.976386,True,True
