ky,gamma_ref,omega_ref,gamma_spectrax,omega_spectrax,rel_gamma,rel_omega
0.200,2.117155,-1.966527,5.436645,-2.191877,1.568,0.115
0.250,2.351464,-1.966527,4.351772,-0.825082,0.851,-0.580
0.300,2.184100,-1.230126,3.848004,0.257855,0.762,-1.210
0.350,1.430962,-0.510460,3.234461,0.533666,1.260,-2.045
0.400,0.728033,0.008368,3.073320,1.626365,3.221,193.355
0.450,-0.426778,0.075314,2.528459,3.553543,-6.925,46.183
