ky,gamma,omega
4.761904759999999875e-02,-2.553447892320005741e-02,-1.486588809771472765e-02
9.523809519999999751e-02,-2.160627056017027856e-02,-2.474656234018469264e-02
1.428571429000000115e-01,-1.653223277852283735e-02,-2.683798881470197614e-02
1.904761905000000033e-01,-1.159512641280498711e-02,-2.094354623624478801e-02
2.857142857000000147e-01,-1.018635916481821363e-02,-4.728304161628137103e-02
3.809523810000000066e-01,1.136699735478942548e-02,-8.875353012694197144e-03
4.761904761999999902e-01,2.294925324633071903e-02,4.587220957377394215e-02
