t,W_spectrax,W_gx,Phi2_spectrax,Phi2_gx,qflux_spectrax,qflux_gx,pflux_spectrax,pflux_gx,phi_mode_re,phi_mode_im
5.711899421847102531e-02,nan,7.477539963722229004e+02,nan,6.116872525215148926e+02,nan,4.531961975097656250e+02,0.000000000000000000e+00,0.000000000000000000e+00,nan,nan
6.236820247785249127e-02,nan,7.682846140861511230e+02,nan,3.339382683038711548e+02,nan,5.064258117675781250e+02,0.000000000000000000e+00,0.000000000000000000e+00,nan,nan
6.736530301841939239e-02,nan,7.940077614784240723e+02,nan,3.711201483011245728e+02,nan,5.418047485351562500e+02,0.000000000000000000e+00,0.000000000000000000e+00,nan,nan
7.234401920510194484e-02,nan,8.295629153251647949e+02,nan,5.125519728660583496e+02,nan,5.845551757812500000e+02,0.000000000000000000e+00,0.000000000000000000e+00,nan,nan
7.766102665786665804e-02,nan,8.614806199073791504e+02,nan,4.348909270763397217e+02,nan,6.382494506835937500e+02,0.000000000000000000e+00,0.000000000000000000e+00,nan,nan
8.273040112563199988e-02,nan,8.925292606353759766e+02,nan,4.995160676240921021e+02,nan,6.917861328125000000e+02,0.000000000000000000e+00,0.000000000000000000e+00,nan,nan
8.762579047866342341e-02,nan,9.469595813751220703e+02,nan,5.138591687679290771e+02,nan,7.538846435546875000e+02,0.000000000000000000e+00,0.000000000000000000e+00,nan,nan
9.255946954220123368e-02,nan,9.611343603134155273e+02,nan,7.739050116539001465e+02,nan,7.929434204101562500e+02,0.000000000000000000e+00,0.000000000000000000e+00,nan,nan
9.764225680748196690e-02,nan,1.016823406219482422e+03,nan,5.935669140815734863e+02,nan,8.658925781250000000e+02,0.000000000000000000e+00,0.000000000000000000e+00,nan,nan
1.025744815516987929e-01,nan,1.040175438880920410e+03,nan,8.032805995941162109e+02,nan,9.201392822265625000e+02,0.000000000000000000e+00,0.000000000000000000e+00,nan,nan
1.074681252310494134e-01,nan,1.080931372642517090e+03,nan,6.984737824201583862e+02,nan,9.846391601562500000e+02,0.000000000000000000e+00,0.000000000000000000e+00,nan,nan
1.125192835784217249e-01,nan,1.101496831893920898e+03,nan,7.840705726146697998e+02,nan,1.039662841796875000e+03,0.000000000000000000e+00,0.000000000000000000e+00,nan,nan
1.176727620594437418e-01,nan,1.136018368721008301e+03,nan,8.087047507762908936e+02,nan,1.099241699218750000e+03,0.000000000000000000e+00,0.000000000000000000e+00,nan,nan
1.228200295249371465e-01,nan,1.172405674934387207e+03,nan,1.046357113599777222e+03,nan,1.128952880859375000e+03,0.000000000000000000e+00,0.000000000000000000e+00,nan,nan
1.277743790354055886e-01,nan,1.210718586921691895e+03,nan,9.697261912822723389e+02,nan,1.181195434570312500e+03,0.000000000000000000e+00,0.000000000000000000e+00,nan,nan
1.325503185371242620e-01,nan,1.244669997215270996e+03,nan,9.714771938323974609e+02,nan,1.229197753906250000e+03,0.000000000000000000e+00,0.000000000000000000e+00,nan,nan
1.372234679631117726e-01,nan,1.292023881912231445e+03,nan,1.015069451570510864e+03,nan,1.277820434570312500e+03,0.000000000000000000e+00,0.000000000000000000e+00,nan,nan
1.419341317595056717e-01,nan,1.395162110328674316e+03,nan,8.356980926513671875e+03,nan,1.224130249023437500e+03,0.000000000000000000e+00,0.000000000000000000e+00,nan,nan
1.463159361746241838e-01,nan,1.960985868453979492e+03,nan,2.278276456832885742e+03,nan,1.541041748046875000e+03,0.000000000000000000e+00,0.000000000000000000e+00,nan,nan
1.510129844688562206e-01,nan,2.141784776687622070e+03,nan,1.575732494831085205e+03,nan,1.724861572265625000e+03,0.000000000000000000e+00,0.000000000000000000e+00,nan,nan
1.561360382438718164e-01,nan,2.116137617111206055e+03,nan,1.571767929077148438e+03,nan,1.706679443359375000e+03,0.000000000000000000e+00,0.000000000000000000e+00,nan,nan
1.614219315939749433e-01,nan,2.112350925445556641e+03,nan,1.783074969768524170e+03,nan,1.614661010742187500e+03,0.000000000000000000e+00,0.000000000000000000e+00,nan,nan
1.660851981613405970e-01,nan,2.147292766571044922e+03,nan,1.551938174724578857e+03,nan,1.586093750000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00,nan,nan
1.709846670037247496e-01,nan,2.134635431289672852e+03,nan,1.483458588600158691e+03,nan,1.558024658203125000e+03,0.000000000000000000e+00,0.000000000000000000e+00,nan,nan
1.760474752053433900e-01,nan,2.123144899368286133e+03,nan,1.595242542743682861e+03,nan,1.508158691406250000e+03,0.000000000000000000e+00,0.000000000000000000e+00,nan,nan
1.807427956061533614e-01,nan,2.168783954620361328e+03,nan,1.446358581542968750e+03,nan,1.490026855468750000e+03,0.000000000000000000e+00,0.000000000000000000e+00,nan,nan
1.857174179197437491e-01,nan,2.155031393051147461e+03,nan,1.931946704864501953e+03,nan,1.467282714843750000e+03,0.000000000000000000e+00,0.000000000000000000e+00,nan,nan
1.908059216761878729e-01,nan,2.166574007034301758e+03,nan,1.407066877603530884e+03,nan,1.458284912109375000e+03,0.000000000000000000e+00,0.000000000000000000e+00,nan,nan
1.957655938130885842e-01,nan,2.162458786010742188e+03,nan,1.473942173480987549e+03,nan,1.432287353515625000e+03,0.000000000000000000e+00,0.000000000000000000e+00,nan,nan
2.005513113886361054e-01,nan,2.203265707015991211e+03,nan,1.462955251693725586e+03,nan,1.421766113281250000e+03,0.000000000000000000e+00,0.000000000000000000e+00,nan,nan
2.054327396224244484e-01,nan,2.195174427032470703e+03,nan,1.405448244571685791e+03,nan,1.452982299804687500e+03,0.000000000000000000e+00,0.000000000000000000e+00,nan,nan
2.101370935437189835e-01,nan,2.228762092590332031e+03,nan,1.417537863016128540e+03,nan,1.454400756835937500e+03,0.000000000000000000e+00,0.000000000000000000e+00,nan,nan
2.146822941981171018e-01,nan,2.257753301620483398e+03,nan,1.434879293203353882e+03,nan,1.477641845703125000e+03,0.000000000000000000e+00,0.000000000000000000e+00,nan,nan
2.197593975897572383e-01,nan,2.523002195358276367e+03,nan,8.324767718505859375e+04,nan,-1.651082000732421875e+02,0.000000000000000000e+00,0.000000000000000000e+00,nan,nan
2.242539805258323971e-01,nan,2.963865297317504883e+03,nan,1.662156024456024170e+03,nan,1.661694335937500000e+03,0.000000000000000000e+00,0.000000000000000000e+00,nan,nan
2.292106210255437648e-01,nan,2.936876119613647461e+03,nan,1.710603201866149902e+03,nan,1.711185546875000000e+03,0.000000000000000000e+00,0.000000000000000000e+00,nan,nan
2.343656868917395886e-01,nan,2.915050775527954102e+03,nan,1.677862784862518311e+03,nan,1.694405395507812500e+03,0.000000000000000000e+00,0.000000000000000000e+00,nan,nan
2.396638256580884419e-01,nan,2.919430240631103516e+03,nan,1.676892229557037354e+03,nan,1.658733398437500000e+03,0.000000000000000000e+00,0.000000000000000000e+00,nan,nan
2.448328032296639700e-01,nan,2.910989997863769531e+03,nan,1.646061350822448730e+03,nan,1.642854736328125000e+03,0.000000000000000000e+00,0.000000000000000000e+00,nan,nan
2.499467551839598400e-01,nan,2.918681804656982422e+03,nan,1.618444542884826660e+03,nan,1.623564575195312500e+03,0.000000000000000000e+00,0.000000000000000000e+00,nan,nan
2.550369753532295558e-01,nan,2.916769002914428711e+03,nan,1.606419314861297607e+03,nan,1.608626708984375000e+03,0.000000000000000000e+00,0.000000000000000000e+00,nan,nan
2.601838490928801706e-01,nan,2.922755578994750977e+03,nan,1.610852716207504272e+03,nan,1.594423217773437500e+03,0.000000000000000000e+00,0.000000000000000000e+00,nan,nan
2.653533511268219569e-01,nan,2.925985425949096680e+03,nan,1.604287323713302612e+03,nan,1.593791015625000000e+03,0.000000000000000000e+00,0.000000000000000000e+00,nan,nan
2.705138050568124397e-01,nan,2.927901863098144531e+03,nan,1.831048232078552246e+03,nan,1.572758666992187500e+03,0.000000000000000000e+00,0.000000000000000000e+00,nan,nan
2.757619536029560225e-01,nan,2.943949449539184570e+03,nan,1.610827844142913818e+03,nan,1.596879272460937500e+03,0.000000000000000000e+00,0.000000000000000000e+00,nan,nan
2.809958760836049896e-01,nan,2.953062728881835938e+03,nan,1.620576095104217529e+03,nan,1.605571289062500000e+03,0.000000000000000000e+00,0.000000000000000000e+00,nan,nan
2.860801605420267846e-01,nan,2.960124542236328125e+03,nan,1.697464212417602539e+03,nan,1.603232543945312500e+03,0.000000000000000000e+00,0.000000000000000000e+00,nan,nan
2.910546557590837913e-01,nan,2.971618928909301758e+03,nan,1.695245370149612427e+03,nan,1.607195068359375000e+03,0.000000000000000000e+00,0.000000000000000000e+00,nan,nan
2.961484118540175792e-01,nan,2.977069812774658203e+03,nan,1.660823674678802490e+03,nan,1.632069091796875000e+03,0.000000000000000000e+00,0.000000000000000000e+00,nan,nan
3.012424497626042807e-01,nan,2.990211309432983398e+03,nan,1.696143903970718384e+03,nan,1.644962890625000000e+03,0.000000000000000000e+00,0.000000000000000000e+00,nan,nan
3.065415995231911550e-01,nan,3.001031957626342773e+03,nan,1.952839920043945312e+03,nan,1.625397216796875000e+03,0.000000000000000000e+00,0.000000000000000000e+00,nan,nan
3.118521483488929658e-01,nan,3.019248096466064453e+03,nan,1.743474787712097168e+03,nan,1.687728027343750000e+03,0.000000000000000000e+00,0.000000000000000000e+00,nan,nan
3.167353478781966825e-01,nan,3.051148874282836914e+03,nan,1.809006076812744141e+03,nan,1.684581787109375000e+03,0.000000000000000000e+00,0.000000000000000000e+00,nan,nan
3.218390581011580931e-01,nan,3.077291604995727539e+03,nan,1.784509783506393433e+03,nan,1.740690429687500000e+03,0.000000000000000000e+00,0.000000000000000000e+00,nan,nan
3.269194442094022768e-01,nan,3.080191888809204102e+03,nan,2.480757045745849609e+03,nan,1.700244140625000000e+03,0.000000000000000000e+00,0.000000000000000000e+00,nan,nan
3.318021219440008829e-01,nan,3.133219030380249023e+03,nan,2.533552427291870117e+03,nan,1.685846923828125000e+03,0.000000000000000000e+00,0.000000000000000000e+00,nan,nan
3.367869943922107701e-01,nan,3.142679882049560547e+03,nan,1.947798153877258301e+03,nan,1.791122436523437500e+03,0.000000000000000000e+00,0.000000000000000000e+00,nan,nan
3.420650175613098032e-01,nan,3.155044317245483398e+03,nan,1.913715343236923218e+03,nan,1.797946899414062500e+03,0.000000000000000000e+00,0.000000000000000000e+00,nan,nan
3.471634300773002724e-01,nan,3.166834955215454102e+03,nan,1.918784302473068237e+03,nan,1.819669677734375000e+03,0.000000000000000000e+00,0.000000000000000000e+00,nan,nan
3.522303813172265596e-01,nan,3.193812850952148438e+03,nan,2.051805405139923096e+03,nan,1.816769653320312500e+03,0.000000000000000000e+00,0.000000000000000000e+00,nan,nan
3.576102398533221871e-01,nan,3.219203031539916992e+03,nan,2.219018922328948975e+03,nan,1.827121093750000000e+03,0.000000000000000000e+00,0.000000000000000000e+00,nan,nan
3.627708529822316619e-01,nan,3.256378330230712891e+03,nan,2.057688456058502197e+03,nan,1.860228515625000000e+03,0.000000000000000000e+00,0.000000000000000000e+00,nan,nan
3.679503440088816579e-01,nan,3.267623580932617188e+03,nan,2.187607349395751953e+03,nan,1.873266357421875000e+03,0.000000000000000000e+00,0.000000000000000000e+00,nan,nan
3.730043669895505842e-01,nan,3.303127870559692383e+03,nan,2.013485441446304321e+03,nan,1.907331787109375000e+03,0.000000000000000000e+00,0.000000000000000000e+00,nan,nan
3.781906062867509410e-01,nan,3.321857360839843750e+03,nan,2.083144828796386719e+03,nan,1.936279296875000000e+03,0.000000000000000000e+00,0.000000000000000000e+00,nan,nan
3.834210268097679730e-01,nan,3.335658575057983398e+03,nan,2.056338778495788574e+03,nan,1.942310424804687500e+03,0.000000000000000000e+00,0.000000000000000000e+00,nan,nan
3.886714605501967457e-01,nan,3.367004909515380859e+03,nan,2.118282148838043213e+03,nan,1.952902343750000000e+03,0.000000000000000000e+00,0.000000000000000000e+00,nan,nan
3.938252001748571707e-01,nan,3.386932136535644531e+03,nan,2.101285331249237061e+03,nan,1.970656616210937500e+03,0.000000000000000000e+00,0.000000000000000000e+00,nan,nan
3.989428893688580224e-01,nan,3.421459592819213867e+03,nan,4.126744136810302734e+03,nan,1.647746704101562500e+03,0.000000000000000000e+00,0.000000000000000000e+00,nan,nan
4.039831082810435015e-01,nan,3.443660358428955078e+03,nan,2.143914862155914307e+03,nan,2.007079345703125000e+03,0.000000000000000000e+00,0.000000000000000000e+00,nan,nan
4.091265504546838239e-01,nan,3.450348005294799805e+03,nan,2.274789379119873047e+03,nan,2.013583984375000000e+03,0.000000000000000000e+00,0.000000000000000000e+00,nan,nan
4.140989590115471408e-01,nan,3.496679271697998047e+03,nan,2.202310604333877563e+03,nan,2.036772827148437500e+03,0.000000000000000000e+00,0.000000000000000000e+00,nan,nan
4.190475048065843700e-01,nan,3.502771657943725586e+03,nan,2.294674261093139648e+03,nan,2.072250488281250000e+03,0.000000000000000000e+00,0.000000000000000000e+00,nan,nan
4.239884306367712186e-01,nan,3.535134891510009766e+03,nan,2.243807996749877930e+03,nan,2.079451660156250000e+03,0.000000000000000000e+00,0.000000000000000000e+00,nan,nan
4.289414123259737699e-01,nan,3.547242013931274414e+03,nan,2.271616453647613525e+03,nan,2.109385253906250000e+03,0.000000000000000000e+00,0.000000000000000000e+00,nan,nan
4.341131631403293278e-01,nan,3.583985652923583984e+03,nan,2.458460926055908203e+03,nan,2.098309814453125000e+03,0.000000000000000000e+00,0.000000000000000000e+00,nan,nan
4.390502538700351010e-01,nan,3.627734230041503906e+03,nan,2.333930393695831299e+03,nan,2.125503906250000000e+03,0.000000000000000000e+00,0.000000000000000000e+00,nan,nan
4.439794848693795482e-01,nan,3.620992225646972656e+03,nan,2.347563625097274780e+03,nan,2.152020996093750000e+03,0.000000000000000000e+00,0.000000000000000000e+00,nan,nan
4.491451338420216488e-01,nan,3.650155801773071289e+03,nan,2.436269646644592285e+03,nan,2.146091064453125000e+03,0.000000000000000000e+00,0.000000000000000000e+00,nan,nan
4.542619118456412974e-01,nan,3.659730026245117188e+03,nan,2.413802339553833008e+03,nan,2.167550292968750000e+03,0.000000000000000000e+00,0.000000000000000000e+00,nan,nan
4.593450479750433302e-01,nan,3.682326152801513672e+03,nan,2.409395543336868286e+03,nan,2.178846923828125000e+03,0.000000000000000000e+00,0.000000000000000000e+00,nan,nan
4.642678271734397288e-01,nan,3.699846042633056641e+03,nan,2.417627853155136108e+03,nan,2.174800292968750000e+03,0.000000000000000000e+00,0.000000000000000000e+00,nan,nan
4.693846479687068807e-01,nan,3.707751911163330078e+03,nan,2.839449239730834961e+03,nan,2.152555908203125000e+03,0.000000000000000000e+00,0.000000000000000000e+00,nan,nan
4.741889719133968728e-01,nan,3.730440567016601562e+03,nan,2.420227298974990845e+03,nan,2.173753906250000000e+03,0.000000000000000000e+00,0.000000000000000000e+00,nan,nan
4.791438844868604052e-01,nan,3.727764072418212891e+03,nan,2.496408164024353027e+03,nan,2.167840087890625000e+03,0.000000000000000000e+00,0.000000000000000000e+00,nan,nan
4.842399977399902133e-01,nan,3.749869407653808594e+03,nan,2.469960733890533447e+03,nan,2.164770996093750000e+03,0.000000000000000000e+00,0.000000000000000000e+00,nan,nan
4.894687828074095193e-01,nan,3.770745489120483398e+03,nan,2.464415430545806885e+03,nan,2.171442871093750000e+03,0.000000000000000000e+00,0.000000000000000000e+00,nan,nan
4.946070738293922298e-01,nan,3.778772254943847656e+03,nan,2.440995832920074463e+03,nan,2.161716308593750000e+03,0.000000000000000000e+00,0.000000000000000000e+00,nan,nan
4.996817143147893603e-01,nan,3.794097332000732422e+03,nan,2.607574746608734131e+03,nan,2.154700683593750000e+03,0.000000000000000000e+00,0.000000000000000000e+00,nan,nan
5.048554781981018369e-01,nan,3.818657882690429688e+03,nan,2.453004182338714600e+03,nan,2.131470947265625000e+03,0.000000000000000000e+00,0.000000000000000000e+00,nan,nan
5.101090467419429064e-01,nan,3.818386545181274414e+03,nan,2.537857923030853271e+03,nan,2.126513427734375000e+03,0.000000000000000000e+00,0.000000000000000000e+00,nan,nan
5.151464783067609687e-01,nan,3.841319549560546875e+03,nan,2.403626308202743530e+03,nan,2.115447753906250000e+03,0.000000000000000000e+00,0.000000000000000000e+00,nan,nan
5.200791569321130403e-01,nan,3.877600811004638672e+03,nan,2.414740167617797852e+03,nan,2.107835449218750000e+03,0.000000000000000000e+00,0.000000000000000000e+00,nan,nan
5.249933976327940677e-01,nan,3.885754894256591797e+03,nan,2.411042703628540039e+03,nan,2.108141601562500000e+03,0.000000000000000000e+00,0.000000000000000000e+00,nan,nan
5.302073707252510371e-01,nan,3.891605562210083008e+03,nan,2.431572680473327637e+03,nan,2.092315429687500000e+03,0.000000000000000000e+00,0.000000000000000000e+00,nan,nan
5.354099877585289935e-01,nan,3.890088703155517578e+03,nan,2.446401926040649414e+03,nan,2.080105468750000000e+03,0.000000000000000000e+00,0.000000000000000000e+00,nan,nan
5.405495365162101828e-01,nan,3.902573383331298828e+03,nan,2.388692307472229004e+03,nan,2.065750000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00,nan,nan
5.458701529276139830e-01,nan,3.919703687667846680e+03,nan,2.381680819034576416e+03,nan,2.065351806640625000e+03,0.000000000000000000e+00,0.000000000000000000e+00,nan,nan
5.511642544154645718e-01,nan,3.917643838882446289e+03,nan,2.384570030450820923e+03,nan,2.052862304687500000e+03,0.000000000000000000e+00,0.000000000000000000e+00,nan,nan
5.563495512836029722e-01,nan,3.932114065170288086e+03,nan,2.413488802433013916e+03,nan,2.041571777343750000e+03,0.000000000000000000e+00,0.000000000000000000e+00,nan,nan
5.616890311435152050e-01,nan,3.934573797225952148e+03,nan,2.405235931873321533e+03,nan,2.051403564453125000e+03,0.000000000000000000e+00,0.000000000000000000e+00,nan,nan
5.668191224451841759e-01,nan,3.944567226409912109e+03,nan,2.369159800767898560e+03,nan,2.046346069335937500e+03,0.000000000000000000e+00,0.000000000000000000e+00,nan,nan
5.718792393055820433e-01,nan,3.965673244476318359e+03,nan,2.375793674230575562e+03,nan,2.044378051757812500e+03,0.000000000000000000e+00,0.000000000000000000e+00,nan,nan
5.771923228338821099e-01,nan,3.982265304565429688e+03,nan,2.397712349414825439e+03,nan,2.046176513671875000e+03,0.000000000000000000e+00,0.000000000000000000e+00,nan,nan
5.824124482334142039e-01,nan,3.989649736404418945e+03,nan,2.450114536285400391e+03,nan,2.025336669921875000e+03,0.000000000000000000e+00,0.000000000000000000e+00,nan,nan
5.872016310419092555e-01,nan,4.052967899322509766e+03,nan,2.364099155664443970e+03,nan,2.031771240234375000e+03,0.000000000000000000e+00,0.000000000000000000e+00,nan,nan
5.919129740560302722e-01,nan,4.044872421264648438e+03,nan,2.364020572423934937e+03,nan,2.023314697265625000e+03,0.000000000000000000e+00,0.000000000000000000e+00,nan,nan
5.966923436627005195e-01,nan,4.625478450775146484e+03,nan,7.918839331054687500e+04,nan,5.224259643554687500e+02,0.000000000000000000e+00,0.000000000000000000e+00,nan,nan
6.013057521851448151e-01,nan,4.845177307128906250e+03,nan,2.531886995792388916e+03,nan,2.113256347656250000e+03,0.000000000000000000e+00,0.000000000000000000e+00,nan,nan
6.055526118114232803e-01,nan,4.781497951507568359e+03,nan,2.518737946987152100e+03,nan,2.124588378906250000e+03,0.000000000000000000e+00,0.000000000000000000e+00,nan,nan
6.104631945711018748e-01,nan,5.456586845397949219e+03,nan,3.340090759277343750e+04,nan,1.475692382812500000e+03,0.000000000000000000e+00,0.000000000000000000e+00,nan,nan
6.151713429246893350e-01,nan,5.847929622650146484e+03,nan,3.914793185234069824e+03,nan,1.895105468750000000e+03,0.000000000000000000e+00,0.000000000000000000e+00,nan,nan
6.201100648112851665e-01,nan,5.774998455047607422e+03,nan,2.532861783504486084e+03,nan,2.089297607421875000e+03,0.000000000000000000e+00,0.000000000000000000e+00,nan,nan
6.252647651622165181e-01,nan,5.732086204528808594e+03,nan,2.425660926818847656e+03,nan,1.995351074218750000e+03,0.000000000000000000e+00,0.000000000000000000e+00,nan,nan
6.302533725808534548e-01,nan,5.701395027160644531e+03,nan,2.281963085174560547e+03,nan,1.897115478515625000e+03,0.000000000000000000e+00,0.000000000000000000e+00,nan,nan
6.352710369799546841e-01,nan,5.666797752380371094e+03,nan,2.181346750497817993e+03,nan,1.816246337890625000e+03,0.000000000000000000e+00,0.000000000000000000e+00,nan,nan
6.404875590208595204e-01,nan,5.639661407470703125e+03,nan,2.085008354902267456e+03,nan,1.734925781250000000e+03,0.000000000000000000e+00,0.000000000000000000e+00,nan,nan
6.455336210167684774e-01,nan,5.629050743103027344e+03,nan,2.029527800559997559e+03,nan,1.672107299804687500e+03,0.000000000000000000e+00,0.000000000000000000e+00,nan,nan
6.506331555047057957e-01,nan,5.590830474853515625e+03,nan,1.939816884279251099e+03,nan,1.619095947265625000e+03,0.000000000000000000e+00,0.000000000000000000e+00,nan,nan
6.559179852734864369e-01,nan,5.564386878967285156e+03,nan,1.992252638816833496e+03,nan,1.551695922851562500e+03,0.000000000000000000e+00,0.000000000000000000e+00,nan,nan
6.609312112956556851e-01,nan,5.559245727539062500e+03,nan,1.822689193010330200e+03,nan,1.529580932617187500e+03,0.000000000000000000e+00,0.000000000000000000e+00,nan,nan
6.659610327556467757e-01,nan,5.541648048400878906e+03,nan,1.827160721063613892e+03,nan,1.479438720703125000e+03,0.000000000000000000e+00,0.000000000000000000e+00,nan,nan
6.713089828377390988e-01,nan,5.544447891235351562e+03,nan,1.904269462585449219e+03,nan,1.422747070312500000e+03,0.000000000000000000e+00,0.000000000000000000e+00,nan,nan
6.764914751435882057e-01,nan,5.533242752075195312e+03,nan,1.923401392459869385e+03,nan,1.399383544921875000e+03,0.000000000000000000e+00,0.000000000000000000e+00,nan,nan
6.815651391872769027e-01,nan,5.547294162750244141e+03,nan,1.831245785236358643e+03,nan,1.384476318359375000e+03,0.000000000000000000e+00,0.000000000000000000e+00,nan,nan
6.865954686689419439e-01,nan,5.562773315429687500e+03,nan,1.619438180685043335e+03,nan,1.380825927734375000e+03,0.000000000000000000e+00,0.000000000000000000e+00,nan,nan
6.918696544358110545e-01,nan,5.567911418914794922e+03,nan,1.597800665140151978e+03,nan,1.363617065429687500e+03,0.000000000000000000e+00,0.000000000000000000e+00,nan,nan
6.969514341466402918e-01,nan,5.581644611358642578e+03,nan,1.585783865928649902e+03,nan,1.353529541015625000e+03,0.000000000000000000e+00,0.000000000000000000e+00,nan,nan
7.023895414273697568e-01,nan,5.557612300872802734e+03,nan,1.565789065599441528e+03,nan,1.349867309570312500e+03,0.000000000000000000e+00,0.000000000000000000e+00,nan,nan
7.076229610759384725e-01,nan,5.556555904388427734e+03,nan,1.609559768676757812e+03,nan,1.336003173828125000e+03,0.000000000000000000e+00,0.000000000000000000e+00,nan,nan
7.128632482336183518e-01,nan,5.550958202362060547e+03,nan,1.646593665122985840e+03,nan,1.310145019531250000e+03,0.000000000000000000e+00,0.000000000000000000e+00,nan,nan
7.179137487482463165e-01,nan,5.548092906951904297e+03,nan,1.562111217260360718e+03,nan,1.349251708984375000e+03,0.000000000000000000e+00,0.000000000000000000e+00,nan,nan
7.231119869373496822e-01,nan,5.533284858703613281e+03,nan,1.520448128461837769e+03,nan,1.351181396484375000e+03,0.000000000000000000e+00,0.000000000000000000e+00,nan,nan
7.282971869206129600e-01,nan,5.530863018035888672e+03,nan,1.562242228984832764e+03,nan,1.359077148437500000e+03,0.000000000000000000e+00,0.000000000000000000e+00,nan,nan
7.334012975166648296e-01,nan,5.520187503814697266e+03,nan,1.517862844944000244e+03,nan,1.345943115234375000e+03,0.000000000000000000e+00,0.000000000000000000e+00,nan,nan
7.383706311225197716e-01,nan,5.532785903930664062e+03,nan,1.514115988016128540e+03,nan,1.345642211914062500e+03,0.000000000000000000e+00,0.000000000000000000e+00,nan,nan
7.435020220962581528e-01,nan,5.536520095825195312e+03,nan,1.532114260435104370e+03,nan,1.343413085937500000e+03,0.000000000000000000e+00,0.000000000000000000e+00,nan,nan
7.486968070447488355e-01,nan,5.538184276580810547e+03,nan,1.540123531818389893e+03,nan,1.345815795898437500e+03,0.000000000000000000e+00,0.000000000000000000e+00,nan,nan
7.539592913491338644e-01,nan,5.545754718780517578e+03,nan,1.567100409507751465e+03,nan,1.346948974609375000e+03,0.000000000000000000e+00,0.000000000000000000e+00,nan,nan
7.591334741812895137e-01,nan,5.555373649597167969e+03,nan,2.243244260787963867e+03,nan,1.278217041015625000e+03,0.000000000000000000e+00,0.000000000000000000e+00,nan,nan
7.639899413041854048e-01,nan,5.575919509887695312e+03,nan,1.553750893354415894e+03,nan,1.351680664062500000e+03,0.000000000000000000e+00,0.000000000000000000e+00,nan,nan
7.691224266256249109e-01,nan,5.570199771881103516e+03,nan,1.521212236881256104e+03,nan,1.351819824218750000e+03,0.000000000000000000e+00,0.000000000000000000e+00,nan,nan
7.743478070616974795e-01,nan,5.590850425720214844e+03,nan,1.516483497500419617e+03,nan,1.356254516601562500e+03,0.000000000000000000e+00,0.000000000000000000e+00,nan,nan
