role,path,case,passed,qualifies,ensemble_mean,combined_sem,combined_sem_rel,mean_spread,mean_rel_spread,n_reports,blockers
baseline,docs/_static/qa_no_ess_reference_replicates/qa_no_ess_reference_t700_ensemble_gate.json,qa_no_ess_reference_equilibrium_replicated_nonlinear_window_ensemble_gate,True,True,12.497835857108996,0.2041029703091087,0.01633106504539434,0.5728199764452953,0.04583353334085156,3,
optimized,docs/_static/optimized_equilibrium_replicates/optimized_equilibrium_replicate_t700_ensemble_gate.json,optimized_equilibrium_post_optimization_ensemble_gate,True,True,10.19273263179093,0.21271304260839316,0.020869088819709194,0.3891036479522114,0.038174615386123725,3,
