requested_devices,actual_devices,backend,state_shape,best_spec,state_sharding_active,identity_gate_pass,serial_median_s,parallel_median_s,same_process_speedup,strong_speedup_vs_1_device,max_abs_state_error,max_rel_state_error,profile_json,source_contract_version,profile_command,profile_command_argv,source_artifact,software_versions,timing_warmup_repeat,profile_backend,profile_device_count,profile_sharding_axis,profile_returncode,error
1,1,gpu,"[4, 8, 96, 48, 128]",auto,False,True,11.114449765067548,10.320638407487422,1.0769149471416644,1.0,0.0,0.0,/tmp/spectraxgk-nonlinear-scaling-ox56a4zs/gpu_1devices.json,1,/usr/bin/python3 /home/rjorge/spectraxgk_perf/tools/profile_nonlinear_sharding.py --out-json /tmp/spectraxgk-nonlinear-scaling-ox56a4zs/gpu_1devices.json --nx 48 --ny 96 --nz 128 --nl 4 --nm 8 --dt 0.02 --steps 12 --method rk2 --sharding auto --sharding-options auto --laguerre-mode grid --warmups 1 --repeats 2 --trace-dir /tmp/spectraxgk-nonlinear-scaling-ox56a4zs/trace_gpu_1devices,"['/usr/bin/python3', '/home/rjorge/spectraxgk_perf/tools/profile_nonlinear_sharding.py', '--out-json', '/tmp/spectraxgk-nonlinear-scaling-ox56a4zs/gpu_1devices.json', '--nx', '48', '--ny', '96', '--nz', '128', '--nl', '4', '--nm', '8', '--dt', '0.02', '--steps', '12', '--method', 'rk2', '--sharding', 'auto', '--sharding-options', 'auto', '--laguerre-mode', 'grid', '--warmups', '1', '--repeats', '2', '--trace-dir', '/tmp/spectraxgk-nonlinear-scaling-ox56a4zs/trace_gpu_1devices']",/tmp/spectraxgk-nonlinear-scaling-ox56a4zs/gpu_1devices.json,"{'jax': '0.6.2', 'jaxlib': '0.6.2', 'numpy': '2.2.4', 'python': '3.10.12', 'spectraxgk': '1.6.9'}","{'repeats': 2, 'warmups': 1}",gpu,1,auto,0,
2,2,gpu,"[4, 8, 96, 48, 128]",auto,True,True,11.040561188943684,17.6179569051601,0.626665239810527,0.5858022279793762,0.0,0.0,/tmp/spectraxgk-nonlinear-scaling-ox56a4zs/gpu_2devices.json,1,/usr/bin/python3 /home/rjorge/spectraxgk_perf/tools/profile_nonlinear_sharding.py --out-json /tmp/spectraxgk-nonlinear-scaling-ox56a4zs/gpu_2devices.json --nx 48 --ny 96 --nz 128 --nl 4 --nm 8 --dt 0.02 --steps 12 --method rk2 --sharding auto --sharding-options auto --laguerre-mode grid --warmups 1 --repeats 2 --trace-dir /tmp/spectraxgk-nonlinear-scaling-ox56a4zs/trace_gpu_2devices,"['/usr/bin/python3', '/home/rjorge/spectraxgk_perf/tools/profile_nonlinear_sharding.py', '--out-json', '/tmp/spectraxgk-nonlinear-scaling-ox56a4zs/gpu_2devices.json', '--nx', '48', '--ny', '96', '--nz', '128', '--nl', '4', '--nm', '8', '--dt', '0.02', '--steps', '12', '--method', 'rk2', '--sharding', 'auto', '--sharding-options', 'auto', '--laguerre-mode', 'grid', '--warmups', '1', '--repeats', '2', '--trace-dir', '/tmp/spectraxgk-nonlinear-scaling-ox56a4zs/trace_gpu_2devices']",/tmp/spectraxgk-nonlinear-scaling-ox56a4zs/gpu_2devices.json,"{'jax': '0.6.2', 'jaxlib': '0.6.2', 'numpy': '2.2.4', 'python': '3.10.12', 'spectraxgk': '1.6.9'}","{'repeats': 2, 'warmups': 1}",gpu,2,auto,0,
