objective,parameter,implicit,finite_difference,abs_error,rel_error,passed
gamma,Rcos_mid_surface_m1,0.0,0.0,0.0,0.0,True
omega,Rcos_mid_surface_m1,769.4629884661599,769.4632757827696,0.0002873166097288049,3.7339872970093304e-07,True
