run,window,tmin,tmax,n_samples,heat_flux_mean,heat_flux_std,heat_flux_coefficient_of_variation,heat_flux_slope,heat_flux_relative_slope_per_time,wphi_mean,wphi_std
"ITERModel VMEC audit, Nx=Ny=48, t=450",least_trending_window,227.5592803955078,450.0136413574219,92,21.282271198604416,3.0838920754967094,0.14490427486418533,0.023942107573522067,0.001124978971938487,8.674199083577031,1.396100305207419
"ITERModel VMEC audit, Nx=Ny=48, t=450",common_window,225.0591278076172,450.0136413574219,93,21.31137979158791,3.079948150330932,0.14452129240109823,0.022432087248226498,0.001052587278139586,8.698037024467222,1.4072728247242605
"ITERModel VMEC audit, Nx=Ny=64, t=450",least_trending_window,227.5592803955078,450.0136413574219,92,20.146509232728377,3.2054910597539528,0.15910900606773967,0.022162078989784076,0.001100045607592474,7.604472797849904,1.1900944399533326
"ITERModel VMEC audit, Nx=Ny=64, t=450",common_window,225.0591278076172,450.0136413574219,93,20.141949725407425,3.188510592977943,0.1583019834944726,0.021582045018124052,0.0010714973134353554,7.608277264461722,1.1842411419265615
