component,serial_norm,sharded_norm,abs_error,rel_error
mirror,0.02848636731505394,0.02848636358976364,0.0,0.0
curvature_gradb,1.1327379941940308,1.1327377557754517,0.0,0.0
total,1.1310844421386719,1.1310843229293823,0.0,0.0
