ky,gamma,omega
4.761904761904761640e-02,-7.991669014935677551e-02,-9.166704467374683571e-03
9.523809523809523281e-02,-6.918341515787103380e-02,-2.008019275762270781e-02
1.428571428571428492e-01,-4.884124610659426602e-02,-3.358953767031613857e-02
1.904761904761904656e-01,-3.964699380638784382e-02,-3.094493070536170204e-02
2.380952380952380820e-01,-2.919292463755319630e-02,-1.997487450634253398e-02
2.857142857142856984e-01,-1.856743086476369750e-02,3.028021897610531227e-02
