ky,solver,gamma_gx,gamma,rel_gamma,omega_gx,omega,rel_omega,eig_overlap_gx,eig_rel_l2,eig_overlap_prev,branch_score,selected,fit_window_tmin,fit_window_tmax
0.10000000149011612,gx_time@project,0.14496771898120642,0.03922189194520259,0.7294439602082219,0.6572156604379416,0.6695283461835614,0.018734620135824463,0.9882583954911903,0.16424616800412395,,0.7599201848528561,False,4.67728355744161,9.476371374191087
0.10000000149011612,gx_time@project_late,0.14496771898120642,0.12860686035852037,0.11285863320238257,0.6572156604379416,0.664195963844872,0.010621024158613426,0.9882583954911903,0.16424616800412395,,0.13522126186980565,True,7.223709072629374,10.822666687369987
0.10000000149011612,gx_time@svd,0.14496771898120642,0.04235519199862801,0.7078301824965673,0.6572156604379416,0.6960287231511388,0.059056813538700306,0.9882583954911903,0.16424616800412395,,0.7786286005440772,False,4.594886558497718,9.393974375247195
0.10000000149011612,gx_time@svd_late,0.14496771898120642,0.11347922814362248,0.2172103628233683,0.6572156604379416,0.6727412051147166,0.02362321169649159,0.9882583954911903,0.16424616800412395,,0.25257517902866955,False,7.1269821608256745,10.725939775566287
0.10000000149011612,gx_time@max,0.14496771898120642,-0.4775872826576233,4.294438831030635,0.6572156604379416,-2.5826635360717773,4.929704800933679,0.9882583954911903,0.16424616800412395,,9.235885236473123,False,20.000040492792053,40.000080985584106
0.10000000149011612,gx_time@z_index,0.14496771898120642,-0.4775872826576233,4.294438831030635,0.6572156604379416,-2.5826635360717773,4.929704800933679,0.9882583954911903,0.16424616800412395,,9.235885236473123,False,20.000040492792053,40.000080985584106
0.20000000298023224,gx_time@project,0.26279708091169596,0.16402775397857106,0.37583875205338746,0.8891330659389496,1.0003884116069741,0.12512789134721444,0.9923258451703639,0.13047118898903295,0.9971999030038216,0.5142409922225949,False,7.201226908829667,12.000646823023462
0.20000000298023224,gx_time@project_late,0.26279708091169596,0.2101330142876787,0.2003982176716538,0.8891330659389496,0.9774399866269461,0.09931800319982691,0.9923258451703639,0.13047118898903295,0.9971999030038216,0.31299056969347366,False,8.355296567777229,11.95451199716608
0.20000000298023224,gx_time@svd,0.26279708091169596,0.16308442823521618,0.3794283114962941,0.8891330659389496,0.9995644898571023,0.12420123393064238,0.9923258451703639,0.13047118898903295,0.9971999030038216,0.5169038942489295,False,7.201226908829667,12.000646823023462
0.20000000298023224,gx_time@svd_late,0.26279708091169596,0.20959683107923735,0.20243851129508833,0.8891330659389496,0.9776707968028965,0.09957759333857251,0.9923258451703639,0.13047118898903295,0.9971999030038216,0.3152904534556538,False,8.338520267465453,11.937735696854304
0.20000000298023224,gx_time@max,0.26279708091169596,0.31853240728378296,0.2120850284132911,0.8891330659389496,0.8791870474815369,0.011186197925177199,0.9923258451703639,0.13047118898903295,0.9971999030038216,0.23654557516046126,True,20.000040492792053,40.000080985584106
0.20000000298023224,gx_time@z_index,0.26279708091169596,0.31853240728378296,0.2120850284132911,0.8891330659389496,0.8791870474815369,0.011186197925177199,0.9923258451703639,0.13047118898903295,0.9971999030038216,0.23654557516046126,False,20.000040492792053,40.000080985584106
0.30000001192092896,gx_time@project,0.2194415875710547,0.20455110593068973,0.06785624277140932,1.1406506448984146,1.2669130517859097,0.1106933200381787,0.9880243998423456,0.15816175045862513,0.999069215538325,0.19238673189059252,True,4.89458453725481,9.693638357204051
0.30000001192092896,gx_time@project_late,0.2194415875710547,0.245667637341137,0.11951266877154891,1.1406506448984146,1.2760067848040764,0.11866572864447594,0.9880243998423456,0.15816175045862513,0.999069215538325,0.2520155664970294,False,5.760502253381013,9.359280846643106
0.30000001192092896,gx_time@svd,0.2194415875710547,0.19981142782962633,0.08945505707787577,1.1406506448984146,1.2690233122403394,0.11254336980045063,0.9880243998423456,0.15816175045862513,0.999069215538325,0.2158355959593309,False,4.956679503501842,9.755733323451084
0.30000001192092896,gx_time@svd_late,0.2194415875710547,0.2429352921028564,0.10706131318064076,1.1406506448984146,1.2694544671090595,0.11292136009103476,0.9880243998423456,0.15816175045862513,0.999069215538325,0.23381984235268005,False,5.958387310651776,9.55716590391387
0.30000001192092896,gx_time@max,0.2194415875710547,0.2553904354572296,0.1638196673843091,1.1406506448984146,1.2731082439422607,0.11612459926820336,0.9880243998423456,0.15816175045862513,0.999069215538325,0.29378143573351695,False,20.000040492792053,40.000080985584106
0.30000001192092896,gx_time@z_index,0.2194415875710547,0.2553904354572296,0.1638196673843091,1.1406506448984146,1.2731082439422607,0.11612459926820336,0.9880243998423456,0.15816175045862513,0.999069215538325,0.29378143573351695,False,20.000040492792053,40.000080985584106
0.4000000059604645,gx_time@project,0.14459446026012301,0.1582169810066054,0.09421191325017354,1.396551240235567,1.5505474946654312,0.11026896113306114,0.9660543401753154,0.28940847057910557,0.9501466491059999,0.3381332359959195,False,3.3550944233024524,8.154465687146438
0.4000000059604645,gx_time@project_late,0.14459446026012301,0.46355328387109346,2.205885502371037,1.396551240235567,1.5374269279365527,0.10087398417062232,0.9660543401753154,0.28940847057910557,0.9501466491059999,2.440411848154344,False,7.878540162464972,11.477568745266694
0.4000000059604645,gx_time@svd,0.14459446026012301,0.15633103161282733,0.08116888663362633,1.396551240235567,1.5519068567691383,0.11124233186557923,0.9660543401753154,0.28940847057910557,0.9501466491059999,0.32606358011189035,True,3.380420920737,8.179792184580968
0.4000000059604645,gx_time@svd_late,0.14459446026012301,0.4471475969862335,2.0924255063563466,1.396551240235567,1.5401429490528131,0.10281879008823572,0.9660543401753154,0.28940847057910557,0.9501466491059999,2.3288966580572676,False,7.8992012524773525,11.498229835279075
0.4000000059604645,gx_time@max,0.14459446026012301,-0.9657194018363953,7.678813283019849,1.396551240235567,3.75445294380188,1.6883746443621985,0.9660543401753154,0.28940847057910557,0.9501466491059999,9.500840288994732,False,20.000040492792053,40.000080985584106
0.4000000059604645,gx_time@z_index,0.14459446026012301,-0.9657194018363953,7.678813283019849,1.396551240235567,3.75445294380188,1.6883746443621985,0.9660543401753154,0.28940847057910557,0.9501466491059999,9.500840288994732,False,20.000040492792053,40.000080985584106
