ky,gamma,omega
1.000000000000000056e-01,-6.609890609979629517e-03,9.825229644775390625e-03
2.000000000000000111e-01,6.617913395166397095e-02,1.017561331391334534e-01
2.999999999999999889e-01,8.031920343637466431e-02,2.091928422451019287e-01
4.000000000000000222e-01,2.360670268535614014e-02,3.400345742702484131e-01
5.000000000000000000e-01,4.526854678988456726e-02,2.453541159629821777e-01
