ky,gamma,omega
9.523809523809523281e-02,-1.512317459616301270e-02,-9.243370016511232024e-02
1.904761904761904656e-01,-2.084096552737951802e-02,-1.458154889195521497e-01
2.999999999999999889e-01,-2.725056158846244150e-02,-1.545525853533424865e-01
4.761904761904761640e-01,-4.007765096439517422e-02,-9.940404512779517365e-02
6.666666666666666297e-01,-2.809114109529011263e-02,-1.343155617049211596e-02
