source,ky,gamma_ref,omega_ref,gamma_spectrax,omega_spectrax,rel_gamma,rel_omega
/tmp/gs2_etg2s_match/etg2s_k10.out.nc,10.0,2.3525707044106356,-4.430646651404427,2.6186223590882447,-2.7305992564100756,0.11308975929131963,-0.3837018676394494
/tmp/gs2_etg2s_match/etg2s_k20.out.nc,20.0,4.442540844332002,-9.84656635491204,5.034191831614312,-6.928818729995137,0.13317851383114826,-0.29632132864888083
/tmp/gs2_etg2s_match/etg2s_k30.out.nc,30.0,4.568147544932417,-14.928421090290593,4.563447487141908,-11.69218794509365,-0.0010288760912993903,-0.2167833507390665
