kx,spectrax_residual,spectrax_residual_std,spectrax_tmax,reference_residual,reference_min,reference_max,reference_tmax,coverage_ratio,residual_abs_error,residual_atol_effective,trace_available,tail_std,reference_tail_std,tail_mean_abs_error,tail_max_abs_error
0.05,0.0053321728132049,0.3668040044754893,3460.136474609375,0.0088345864661653,0.0082706766917292,0.0093984962406014,3500.0,0.9886104213169643,0.0035024136529603995,0.0205639097744361,1,0.34070181866562443,0.0024066124704448955,0.28809446862223204,0.71880291677301
0.07,0.0386821506963058,0.167786502921539,1980.0106201171875,0.0167293233082706,0.0116541353383458,0.0218045112781954,2000.0,0.9900053100585937,0.021952827388035202,0.0250751879699248,1,0.07775702526672434,0.002505038347393846,0.07057916865198792,0.23472546361322114
0.1,0.0264715052011658,0.1238143642081985,1980.0106201171875,0.030263157894736797,0.025187969924812,0.0353383458646616,2000.0,0.9900053100585937,0.0037916526935709988,0.025075187969924802,1,0.10240379761206594,0.002316744085559747,0.09505203375269913,0.2700646907841105
0.3,0.1484044780226975,0.0479258258485955,1980.0106201171875,0.1464285714285714,0.1413533834586466,0.1515037593984962,2000.0,0.9900053100585937,0.001975906594126081,0.025075187969924816,1,0.03670987488984664,0.0027132888096743704,0.04145817916122571,0.09900733786745125
