label,sweep,closure_source,source_path,kx_target,kx_selected,kx_index,analysis_tmax,raw_tmax,n_samples_used,Nl,Nm,initial_level,mean_abs_error,max_abs_error,tail_mean,tail_std,tail_abs_max,reference_tail_std,hermite_tail_at_tmax,laguerre_tail_at_tmax,free_energy_at_tmax_over_initial
Nl16 Nm64 const nuhm0.01,closure_source,const,tools_out/zonal_response/w7x_probe_nl16_nm64_nuhm0p01_const_t100/w7x_test4_kx070.out.nc,0.07,0.07000000029802322,2,100.0,100.00150299072266,100,16,64,2.820915767642873e-07,0.293204805745812,0.5738288120000966,0.20551556103990354,0.11735626543561611,0.43140420635724264,0.027638319299296457,0.2196396340266003,0.02810646568042363,0.7591914981298664
Nl16 Nm64 const nuhm0.03,closure_source,const,tools_out/zonal_response/w7x_probe_nl16_nm64_nuhm0p03_const_t100/w7x_test4_kx070.out.nc,0.07,0.07000000029802322,2,100.0,100.00150299072266,100,16,64,2.820915767642873e-07,0.28925894943488784,0.5740115788217725,0.20029077560704392,0.11828227178339677,0.41554787478155386,0.027638319299296457,0.09923573863156468,0.016099908503371913,0.5995926659677548
